,Date,Value
0,2020-01-27,0.0
1,2020-02-03,0.0
2,2020-02-10,0.0
3,2020-02-17,1.0
4,2020-02-24,0.0
5,2020-03-02,1.0
6,2020-03-09,17.0
7,2020-03-16,72.0
8,2020-03-23,585.0
9,2020-03-30,1935.0
10,2020-04-06,5482.0
11,2020-04-13,6319.0
12,2020-04-20,5308.0
13,2020-04-27,3139.0
14,2020-05-04,2041.0
15,2020-05-11,1483.0
16,2020-05-18,1728.0
17,2020-05-25,259.0
18,2020-06-01,435.0
19,2020-06-08,353.0
20,2020-06-15,252.0
21,2020-06-22,233.0
22,2020-06-29,138.0
23,2020-07-06,115.0
24,2020-07-13,111.0
25,2020-07-20,148.0
26,2020-07-27,40.0
27,2020-08-03,73.0
28,2020-08-10,59.0
29,2020-08-17,83.0
30,2020-08-24,108.0
31,2020-08-31,93.0
32,2020-09-07,119.0
33,2020-09-14,173.0
34,2020-09-21,354.0
35,2020-09-28,418.0
