,Date,Value
0,2020-01-27,0.0
1,2020-02-03,0.0
2,2020-02-10,0.0
3,2020-02-17,0.0
4,2020-02-24,0.0
5,2020-03-02,0.0
6,2020-03-09,0.0
7,2020-03-16,11.0
8,2020-03-23,83.0
9,2020-03-30,439.0
10,2020-04-06,1051.0
11,2020-04-13,1438.0
12,2020-04-20,1564.0
13,2020-04-27,1390.0
14,2020-05-04,890.0
15,2020-05-11,703.0
16,2020-05-18,393.0
17,2020-05-25,321.0
18,2020-06-01,257.0
19,2020-06-08,145.0
20,2020-06-15,116.0
21,2020-06-22,94.0
22,2020-06-29,73.0
23,2020-07-06,55.0
24,2020-07-13,48.0
25,2020-07-20,21.0
26,2020-07-27,32.0
27,2020-08-03,30.0
28,2020-08-10,48.0
29,2020-08-17,33.0
30,2020-08-24,40.0
31,2020-08-31,25.0
32,2020-09-07,30.0
33,2020-09-14,24.0
34,2020-09-21,36.0
35,2020-09-28,74.0
