,Date,Value
0,2020-01-27,0.0
1,2020-02-03,0.0
2,2020-02-10,0.0
3,2020-02-17,0.0
4,2020-02-24,0.0
5,2020-03-02,0.0
6,2020-03-09,0.0
7,2020-03-16,4.0
8,2020-03-23,11.0
9,2020-03-30,23.0
10,2020-04-06,35.0
11,2020-04-13,25.0
12,2020-04-20,15.0
13,2020-04-27,21.0
14,2020-05-04,10.0
15,2020-05-11,7.0
16,2020-05-18,12.0
17,2020-05-25,8.0
18,2020-06-01,4.0
19,2020-06-08,5.0
20,2020-06-15,3.0
21,2020-06-22,7.0
22,2020-06-29,1.0
23,2020-07-06,1.0
24,2020-07-13,1.0
25,2020-07-20,1.0
26,2020-07-27,8.0
27,2020-08-03,6.0
28,2020-08-10,4.0
29,2020-08-17,16.0
30,2020-08-24,14.0
31,2020-08-31,20.0
32,2020-09-07,22.0
33,2020-09-14,21.0
34,2020-09-21,33.0
35,2020-09-28,41.0
