,Date,Value
0,2020-01-27,0.0
1,2020-02-03,0.0
2,2020-02-10,0.0
3,2020-02-17,0.0
4,2020-02-24,0.0
5,2020-03-02,0.0
6,2020-03-09,0.0
7,2020-03-16,0.0
8,2020-03-23,14.0
9,2020-03-30,105.0
10,2020-04-06,176.0
11,2020-04-13,209.0
12,2020-04-20,210.0
13,2020-04-27,189.0
14,2020-05-04,140.0
15,2020-05-11,92.0
16,2020-05-18,83.0
17,2020-05-25,98.0
18,2020-06-01,94.0
19,2020-06-08,69.0
20,2020-06-15,38.0
21,2020-06-22,13.0
22,2020-06-29,34.0
23,2020-07-06,50.0
24,2020-07-13,46.0
25,2020-07-20,29.0
26,2020-07-27,28.0
27,2020-08-03,21.0
28,2020-08-10,18.0
29,2020-08-17,22.0
30,2020-08-24,18.0
31,2020-08-31,23.0
32,2020-09-07,21.0
33,2020-09-14,27.0
34,2020-09-21,45.0
35,2020-09-28,41.0
