,Date,Value
0,2020-01-27,0.0
1,2020-02-03,0.0
2,2020-02-10,0.0
3,2020-02-17,0.0
4,2020-02-24,0.0
5,2020-03-02,0.0
6,2020-03-09,0.0
7,2020-03-16,0.0
8,2020-03-23,3.0
9,2020-03-30,40.0
10,2020-04-06,108.0
11,2020-04-13,165.0
12,2020-04-20,135.0
13,2020-04-27,168.0
14,2020-05-04,171.0
15,2020-05-11,171.0
16,2020-05-18,146.0
17,2020-05-25,78.0
18,2020-06-01,81.0
19,2020-06-08,67.0
20,2020-06-15,77.0
21,2020-06-22,102.0
22,2020-06-29,100.0
23,2020-07-06,138.0
24,2020-07-13,134.0
25,2020-07-20,142.0
26,2020-07-27,161.0
27,2020-08-03,226.0
28,2020-08-10,287.0
29,2020-08-17,291.0
30,2020-08-24,281.0
31,2020-08-31,306.0
32,2020-09-07,315.0
33,2020-09-14,270.0
34,2020-09-21,272.0
35,2020-09-28,283.0
