,Date,Value
0,2020-01-27,0.0
1,2020-02-03,0.0
2,2020-02-10,0.0
3,2020-02-17,0.0
4,2020-02-24,0.0
5,2020-03-02,0.0
6,2020-03-09,2.0
7,2020-03-16,41.0
8,2020-03-23,246.0
9,2020-03-30,1390.0
10,2020-04-06,4203.0
11,2020-04-13,6448.0
12,2020-04-20,6184.0
13,2020-04-27,5539.0
14,2020-05-04,4239.0
15,2020-05-11,3175.0
16,2020-05-18,2433.0
17,2020-05-25,2139.0
18,2020-06-01,1488.0
19,2020-06-08,1175.0
20,2020-06-15,749.0
21,2020-06-22,512.0
22,2020-06-29,441.0
23,2020-07-06,313.0
24,2020-07-13,213.0
25,2020-07-20,150.0
26,2020-07-27,116.0
27,2020-08-03,96.0
28,2020-08-10,71.0
29,2020-08-17,88.0
30,2020-08-24,64.0
31,2020-08-31,71.0
32,2020-09-07,54.0
33,2020-09-14,77.0
34,2020-09-21,149.0
35,2020-09-28,211.0
