"TIME","GEO","SEX","UNIT","Value"
"2010W01","Belgium","Total","Number","2,280"
"2010W01","Bulgaria","Total","Number","2,262"
"2010W01","Czechia","Total","Number","2,155"
"2010W01","Denmark","Total","Number","1,159"
"2010W01","Germany (until 1990 former territory of the FRG)","Total","Number",":"
"2010W01","Estonia","Total","Number","403"
"2010W01","Greece","Total","Number",":"
"2010W01","Spain","Total","Number","8,205"
"2010W01","France","Total","Number",":"
"2010W01","Croatia","Total","Number","972"
"2010W01","Italy","Total","Number",":"
"2010W01","Cyprus","Total","Number",":"
"2010W01","Latvia","Total","Number","649"
"2010W01","Lithuania","Total","Number","808"
"2010W01","Luxembourg","Total","Number","84"
"2010W01","Hungary","Total","Number","2,721"
"2010W01","Malta","Total","Number",":"
"2010W01","Netherlands","Total","Number","2,767"
"2010W01","Austria","Total","Number","1,557"
"2010W01","Poland","Total","Number","7,662"
"2010W01","Portugal","Total","Number","2,345"
"2010W01","Romania","Total","Number",":"
"2010W01","Slovenia","Total","Number","364"
"2010W01","Slovakia","Total","Number","1,000"
"2010W01","Finland","Total","Number","1,029"
"2010W01","Sweden","Total","Number","1,899"
"2010W01","United Kingdom","Total","Number",":"
"2010W01","Iceland","Total","Number","39"
"2010W01","Liechtenstein","Total","Number","3"
"2010W01","Norway","Total","Number","886"
"2010W01","Switzerland","Total","Number","1,301"
"2010W01","Montenegro","Total","Number","109"
"2010W01","Albania","Total","Number",":"
"2010W01","Serbia","Total","Number","2,118"
"2010W01","Andorra","Total","Number","9"
"2010W01","Armenia","Total","Number",":"
"2010W01","Georgia","Total","Number",":"
"2010W02","Belgium","Total","Number","2,352"
"2010W02","Bulgaria","Total","Number","2,041"
"2010W02","Czechia","Total","Number","2,095"
"2010W02","Denmark","Total","Number","1,127"
"2010W02","Germany (until 1990 former territory of the FRG)","Total","Number",":"
"2010W02","Estonia","Total","Number","314"
"2010W02","Greece","Total","Number",":"
"2010W02","Spain","Total","Number","8,640"
"2010W02","France","Total","Number",":"
"2010W02","Croatia","Total","Number","1,041"
"2010W02","Italy","Total","Number",":"
"2010W02","Cyprus","Total","Number",":"
"2010W02","Latvia","Total","Number","635"
"2010W02","Lithuania","Total","Number","876"
"2010W02","Luxembourg","Total","Number","86"
"2010W02","Hungary","Total","Number","2,586"
"2010W02","Malta","Total","Number",":"
"2010W02","Netherlands","Total","Number","2,832"
"2010W02","Austria","Total","Number","1,582"
"2010W02","Poland","Total","Number","7,176"
"2010W02","Portugal","Total","Number","2,569"
"2010W02","Romania","Total","Number",":"
"2010W02","Slovenia","Total","Number","321"
"2010W02","Slovakia","Total","Number","996"
"2010W02","Finland","Total","Number","976"
"2010W02","Sweden","Total","Number","1,942"
"2010W02","United Kingdom","Total","Number",":"
"2010W02","Iceland","Total","Number","39"
"2010W02","Liechtenstein","Total","Number","5"
"2010W02","Norway","Total","Number","878"
"2010W02","Switzerland","Total","Number","1,280"
"2010W02","Montenegro","Total","Number","107"
"2010W02","Albania","Total","Number",":"
"2010W02","Serbia","Total","Number","1,979"
"2010W02","Andorra","Total","Number","5"
"2010W02","Armenia","Total","Number",":"
"2010W02","Georgia","Total","Number",":"
"2010W03","Belgium","Total","Number","2,303"
"2010W03","Bulgaria","Total","Number","2,276"
"2010W03","Czechia","Total","Number","2,200"
"2010W03","Denmark","Total","Number","1,120"
"2010W03","Germany (until 1990 former territory of the FRG)","Total","Number",":"
"2010W03","Estonia","Total","Number","324"
"2010W03","Greece","Total","Number",":"
"2010W03","Spain","Total","Number","8,322"
"2010W03","France","Total","Number",":"
"2010W03","Croatia","Total","Number","1,025"
"2010W03","Italy","Total","Number",":"
"2010W03","Cyprus","Total","Number",":"
"2010W03","Latvia","Total","Number","658"
"2010W03","Lithuania","Total","Number","819"
"2010W03","Luxembourg","Total","Number","80"
"2010W03","Hungary","Total","Number","2,433"
"2010W03","Malta","Total","Number",":"
"2010W03","Netherlands","Total","Number","2,848"
"2010W03","Austria","Total","Number","1,573"
"2010W03","Poland","Total","Number","7,320"
"2010W03","Portugal","Total","Number","2,225"
