TIME,GEO,Value
2015-01-05,Belgium,2461
2015-01-12,Belgium,2525
2015-01-19,Belgium,2526
2015-01-26,Belgium,2510
2015-02-02,Belgium,2644
2015-02-09,Belgium,2727
2015-02-16,Belgium,2892
2015-02-23,Belgium,2774
2015-03-02,Belgium,2643
2015-03-09,Belgium,2457
2015-03-16,Belgium,2380
2015-03-23,Belgium,2380
2015-03-30,Belgium,2270
2015-04-06,Belgium,2163
2015-04-13,Belgium,2218
2015-04-20,Belgium,2152
2015-04-27,Belgium,2087
2015-05-04,Belgium,2005
2015-05-11,Belgium,2063
2015-05-18,Belgium,1976
2015-05-25,Belgium,1950
2015-06-01,Belgium,1905
2015-06-08,Belgium,1942
2015-06-15,Belgium,2003
2015-06-22,Belgium,1900
2015-06-29,Belgium,1888
2015-07-06,Belgium,2301
2015-07-13,Belgium,1908
2015-07-20,Belgium,1797
2015-07-27,Belgium,1740
2015-08-03,Belgium,1777
2015-08-10,Belgium,1997
2015-08-17,Belgium,1852
2015-08-24,Belgium,1755
2015-08-31,Belgium,1919
2015-09-07,Belgium,1775
2015-09-14,Belgium,1917
2015-09-21,Belgium,1844
2015-09-28,Belgium,1932
2015-10-05,Belgium,1973
2015-10-12,Belgium,2019
2015-10-19,Belgium,2059
2015-10-26,Belgium,2038
2015-11-02,Belgium,2095
2015-11-09,Belgium,1951
2015-11-16,Belgium,1934
2015-11-23,Belgium,2020
2015-11-30,Belgium,2021
2015-12-07,Belgium,1992
2015-12-14,Belgium,2113
2015-12-21,Belgium,2085
2015-12-28,Belgium,2031
2016-01-04,Belgium,2123
2016-01-04,Belgium,2244
2016-01-11,Belgium,2234
2016-01-18,Belgium,2295
2016-01-25,Belgium,2263
2016-02-01,Belgium,2180
2016-02-08,Belgium,2127
2016-02-15,Belgium,2121
2016-02-22,Belgium,2230
2016-02-29,Belgium,2336
2016-03-07,Belgium,2264
2016-03-14,Belgium,2248
2016-03-21,Belgium,2364
2016-03-28,Belgium,2273
2016-04-04,Belgium,2080
2016-04-11,Belgium,2160
2016-04-18,Belgium,2049
2016-04-25,Belgium,1996
2016-05-02,Belgium,2087
2016-05-09,Belgium,2065
2016-05-16,Belgium,1926
2016-05-23,Belgium,1946
2016-05-30,Belgium,1885
2016-06-06,Belgium,1856
2016-06-13,Belgium,1851
2016-06-20,Belgium,1920
2016-06-27,Belgium,1846
2016-07-04,Belgium,1899
2016-07-11,Belgium,1933
2016-07-18,Belgium,2030
2016-07-25,Belgium,1917
2016-08-01,Belgium,1801
2016-08-08,Belgium,1788
2016-08-15,Belgium,1976
2016-08-22,Belgium,2120
2016-08-29,Belgium,1866
2016-09-05,Belgium,1835
2016-09-12,Belgium,1938
2016-09-19,Belgium,1769
2016-09-26,Belgium,1906
2016-10-03,Belgium,1904
2016-10-10,Belgium,2065
2016-10-17,Belgium,2041
2016-10-24,Belgium,2025
2016-10-31,Belgium,2088
2016-11-07,Belgium,2093
2016-11-14,Belgium,2177
2016-11-21,Belgium,2143
2016-11-28,Belgium,2191
2016-12-05,Belgium,2221
2016-12-12,Belgium,2221
2016-12-19,Belgium,2321
2016-12-26,Belgium,2418
2017-01-02,Belgium,2557
2017-01-09,Belgium,2735
2017-01-16,Belgium,2645
2017-01-23,Belgium,2691
2017-01-30,Belgium,2950
2017-02-06,Belgium,2691
2017-02-13,Belgium,2631
2017-02-20,Belgium,2389
2017-02-27,Belgium,2315
2017-03-06,Belgium,2138
2017-03-13,Belgium,2036
2017-03-20,Belgium,2106
2017-03-27,Belgium,2068
2017-04-03,Belgium,1969
2017-04-10,Belgium,1954
2017-04-17,Belgium,1917
2017-04-24,Belgium,2079
2017-05-01,Belgium,2091
2017-05-08,Belgium,2009
2017-05-15,Belgium,2110
2017-05-22,Belgium,2009
2017-05-29,Belgium,1981
2017-06-05,Belgium,1815
2017-06-12,Belgium,1868
2017-06-19,Belgium,2101
2017-06-26,Belgium,1821
2017-07-03,Belgium,1901
2017-07-10,Belgium,1847
2017-07-17,Belgium,1827
2017-07-24,Belgium,1897
2017-07-31,Belgium,1808
2017-08-07,Belgium,1826
2017-08-14,Belgium,1784
2017-08-21,Belgium,1951
2017-08-28,Belgium,1924
2017-09-04,Belgium,1883
2017-09-11,Belgium,1823
2017-09-18,Belgium,1908
2017-09-25,Belgium,1963
2017-10-02,Belgium,1955
2017-10-09,Belgium,2059
2017-10-16,Belgium,2007
2017-10-23,Belgium,1913
2017-10-30,Belgium,1892
2017-11-06,Belgium,1939
2017-11-13,Belgium,2078
2017-11-20,Belgium,2114
2017-11-27,Belgium,2080
2017-12-04,Belgium,2276
2017-12-11,Belgium,2325
2017-12-18,Belgium,2272
2017-12-25,Belgium,2350
2018-01-01,Belgium,2382
2018-01-08,Belgium,2317
2018-01-15,Belgium,2336
2018-01-22,Belgium,2253
2018-01-29,Belgium,2355
2018-02-05,Belgium,2353
2018-02-12,Belgium,2565
2018-02-19,Belgium,2628
2018-02-26,Belgium,3002
2018-03-05,Belgium,3016
2018-03-12,Belgium,2724
2018-03-19,Belgium,2594
2018-03-26,Belgium,2460
2018-04-02,Belgium,2203
2018-04-09,Belgium,2175
2018-04-16,Belgium,2044
2018-04-23,Belgium,1953
2018-04-30,Belgium,1867
2018-05-07,Belgium,1980
2018-05-14,Belgium,1860
2018-05-21,Belgium,1951
2018-05-28,Belgium,1953
2018-06-04,Belgium,1811
2018-06-11,Belgium,1734
2018-06-18,Belgium,1779
2018-06-25,Belgium,1950
2018-07-02,Belgium,2080
2018-07-09,Belgium,1833
2018-07-16,Belgium,1988
2018-07-23,Belgium,2107
2018-07-30,Belgium,2125
2018-08-06,Belgium,2000
2018-08-13,Belgium,1887
2018-08-20,Belgium,1824
2018-08-27,Belgium,1825
2018-09-03,Belgium,1909
2018-09-10,Belgium,1811
2018-09-17,Belgium,1970
2018-09-24,Belgium,1831
2018-10-01,Belgium,1965
2018-10-08,Belgium,2006
2018-10-15,Belgium,1957
2018-10-22,Belgium,1918
2018-10-29,Belgium,1907
2018-11-05,Belgium,2049
2018-11-12,Belgium,2017
2018-11-19,Belgium,2060
2018-11-26,Belgium,2107
2018-12-03,Belgium,2173
2018-12-10,Belgium,2233
2018-12-17,Belgium,2263
2018-12-24,Belgium,2251
2019-01-07,Belgium,2308
2019-01-14,Belgium,2347
2019-01-21,Belgium,2312
2019-01-28,Belgium,2395
2019-02-04,Belgium,2421
2019-02-11,Belgium,2544
2019-02-18,Belgium,2409
2019-02-25,Belgium,2418
2019-03-04,Belgium,2428
2019-03-11,Belgium,2389
2019-03-18,Belgium,2335
2019-03-25,Belgium,2167
2019-04-01,Belgium,2063
2019-04-08,Belgium,2183
2019-04-15,Belgium,1969
2019-04-22,Belgium,2095
2019-04-29,Belgium,2046
2019-05-06,Belgium,2011
2019-05-13,Belgium,2034
2019-05-20,Belgium,2034
2019-05-27,Belgium,1995
2019-06-03,Belgium,1933
2019-06-10,Belgium,1966
2019-06-17,Belgium,1847
2019-06-24,Belgium,1913
