TIME,GEO,Value
2015-01-05,Greece,2645
2015-01-12,Greece,3013
2015-01-19,Greece,3053
2015-01-26,Greece,3065
2015-02-02,Greece,2778
2015-02-09,Greece,2665
2015-02-16,Greece,2551
2015-02-23,Greece,2690
2015-03-02,Greece,2790
2015-03-09,Greece,2629
2015-03-16,Greece,2547
2015-03-23,Greece,2457
2015-03-30,Greece,2376
2015-04-06,Greece,2390
2015-04-13,Greece,2408
2015-04-20,Greece,2426
2015-04-27,Greece,2240
2015-05-04,Greece,2287
2015-05-11,Greece,2327
2015-05-18,Greece,2015
2015-05-25,Greece,2075
2015-06-01,Greece,1941
2015-06-08,Greece,2090
2015-06-15,Greece,2107
2015-06-22,Greece,2235
2015-06-29,Greece,1922
2015-07-06,Greece,1917
2015-07-13,Greece,2271
2015-07-20,Greece,2197
2015-07-27,Greece,2443
2015-08-03,Greece,2479
2015-08-10,Greece,2372
2015-08-17,Greece,2242
2015-08-24,Greece,2081
2015-08-31,Greece,2055
2015-09-07,Greece,2276
2015-09-14,Greece,2040
2015-09-21,Greece,1982
2015-09-28,Greece,1919
2015-10-05,Greece,1849
2015-10-12,Greece,2101
2015-10-19,Greece,2056
2015-10-26,Greece,2072
2015-11-02,Greece,2202
2015-11-09,Greece,2337
2015-11-16,Greece,2363
2015-11-23,Greece,2253
2015-11-30,Greece,2222
2015-12-07,Greece,2131
2015-12-14,Greece,2306
2015-12-21,Greece,2387
2015-12-28,Greece,2480
2016-01-04,Greece,2569
2016-01-04,Greece,2637
2016-01-11,Greece,2638
2016-01-18,Greece,2601
2016-01-25,Greece,2652
2016-02-01,Greece,2649
2016-02-08,Greece,2594
2016-02-15,Greece,2436
2016-02-22,Greece,2215
2016-02-29,Greece,2139
2016-03-07,Greece,2248
2016-03-14,Greece,2255
2016-03-21,Greece,2185
2016-03-28,Greece,2259
2016-04-04,Greece,2275
2016-04-11,Greece,2227
2016-04-18,Greece,2100
2016-04-25,Greece,2081
2016-05-02,Greece,2246
2016-05-09,Greece,2209
2016-05-16,Greece,2121
2016-05-23,Greece,2027
2016-05-30,Greece,2199
2016-06-06,Greece,1999
2016-06-13,Greece,2175
2016-06-20,Greece,2914
2016-06-27,Greece,2318
2016-07-04,Greece,2155
2016-07-11,Greece,2186
2016-07-18,Greece,1993
2016-07-25,Greece,2285
2016-08-01,Greece,2324
2016-08-08,Greece,2212
2016-08-15,Greece,2122
2016-08-22,Greece,2049
2016-08-29,Greece,2013
2016-09-05,Greece,2041
2016-09-12,Greece,1971
2016-09-19,Greece,1882
2016-09-26,Greece,1972
2016-10-03,Greece,2081
2016-10-10,Greece,2047
2016-10-17,Greece,2142
2016-10-24,Greece,2177
2016-10-31,Greece,2148
2016-11-07,Greece,2349
2016-11-14,Greece,2244
2016-11-21,Greece,2431
2016-11-28,Greece,2413
2016-12-05,Greece,2475
2016-12-12,Greece,2414
2016-12-19,Greece,2716
2016-12-26,Greece,2875
2017-01-02,Greece,3425
2017-01-09,Greece,3680
2017-01-16,Greece,3364
2017-01-23,Greece,3082
2017-01-30,Greece,3002
2017-02-06,Greece,2790
2017-02-13,Greece,2675
2017-02-20,Greece,2523
2017-02-27,Greece,2399
2017-03-06,Greece,2405
2017-03-13,Greece,2444
2017-03-20,Greece,2458
2017-03-27,Greece,2253
2017-04-03,Greece,2363
2017-04-10,Greece,2363
2017-04-17,Greece,2367
