TIME,GEO,Value
2015-01-05,Spain,9605
2015-01-12,Spain,10415
2015-01-19,Spain,10738
2015-01-26,Spain,10625
2015-02-02,Spain,11046
2015-02-09,Spain,10682
2015-02-16,Spain,10857
2015-02-23,Spain,10580
2015-03-02,Spain,10058
2015-03-09,Spain,9421
2015-03-16,Spain,8785
2015-03-23,Spain,8379
2015-03-30,Spain,8366
2015-04-06,Spain,8282
2015-04-13,Spain,7894
2015-04-20,Spain,7855
2015-04-27,Spain,7802
2015-05-04,Spain,7365
2015-05-11,Spain,7464
2015-05-18,Spain,7543
2015-05-25,Spain,7234
2015-06-01,Spain,7096
2015-06-08,Spain,7364
2015-06-15,Spain,7152
2015-06-22,Spain,6956
2015-06-29,Spain,7111
2015-07-06,Spain,8146
2015-07-13,Spain,8351
2015-07-20,Spain,8164
2015-07-27,Spain,7798
2015-08-03,Spain,7349
2015-08-10,Spain,7219
2015-08-17,Spain,7075
2015-08-24,Spain,6801
2015-08-31,Spain,6954
2015-09-07,Spain,6603
2015-09-14,Spain,6660
2015-09-21,Spain,6617
2015-09-28,Spain,6898
2015-10-05,Spain,6813
2015-10-12,Spain,7055
2015-10-19,Spain,7119
2015-10-26,Spain,7267
2015-11-02,Spain,7392
2015-11-09,Spain,7412
2015-11-16,Spain,7325
2015-11-23,Spain,7397
2015-11-30,Spain,7849
2015-12-07,Spain,8080
2015-12-14,Spain,8032
2015-12-21,Spain,8342
2015-12-28,Spain,8031
2016-01-04,Spain,8427
2016-01-04,Spain,8658
2016-01-11,Spain,8671
2016-01-18,Spain,8791
2016-01-25,Spain,8491
2016-02-01,Spain,8461
2016-02-08,Spain,8556
2016-02-15,Spain,8479
2016-02-22,Spain,8670
2016-02-29,Spain,8645
2016-03-07,Spain,8653
2016-03-14,Spain,8811
2016-03-21,Spain,8291
2016-03-28,Spain,8375
2016-04-04,Spain,7998
2016-04-11,Spain,7859
2016-04-18,Spain,7589
2016-04-25,Spain,7462
2016-05-02,Spain,7606
2016-05-09,Spain,7374
2016-05-16,Spain,7533
2016-05-23,Spain,7304
2016-05-30,Spain,7255
2016-06-06,Spain,7576
2016-06-13,Spain,7140
2016-06-20,Spain,7173
2016-06-27,Spain,7345
2016-07-04,Spain,7505
2016-07-11,Spain,7423
2016-07-18,Spain,7377
2016-07-25,Spain,7295
2016-08-01,Spain,7425
2016-08-08,Spain,7233
2016-08-15,Spain,7102
2016-08-22,Spain,7184
2016-08-29,Spain,7100
2016-09-05,Spain,7203
2016-09-12,Spain,6641
2016-09-19,Spain,6956
2016-09-26,Spain,7036
2016-10-03,Spain,7072
2016-10-10,Spain,7036
2016-10-17,Spain,7185
2016-10-24,Spain,7512
2016-10-31,Spain,7244
2016-11-07,Spain,7775
2016-11-14,Spain,8076
2016-11-21,Spain,8090
2016-11-28,Spain,8321
2016-12-05,Spain,8124
2016-12-12,Spain,8612
2016-12-19,Spain,8980
2016-12-26,Spain,9855
2017-01-02,Spain,10726
2017-01-09,Spain,11414
2017-01-16,Spain,11334
2017-01-23,Spain,11068
2017-01-30,Spain,10636
2017-02-06,Spain,9660
2017-02-13,Spain,9017
2017-02-20,Spain,8670
2017-02-27,Spain,8371
2017-03-06,Spain,8213
2017-03-13,Spain,7906
2017-03-20,Spain,7875
2017-03-27,Spain,7827
2017-04-03,Spain,7814
2017-04-10,Spain,7800
2017-04-17,Spain,7574
2017-04-24,Spain,7661
2017-05-01,Spain,7520
2017-05-08,Spain,7622
2017-05-15,Spain,7494
2017-05-22,Spain,7666
2017-05-29,Spain,7092
2017-06-05,Spain,7067
2017-06-12,Spain,7819
2017-06-19,Spain,7991
2017-06-26,Spain,7137
2017-07-03,Spain,7156
2017-07-10,Spain,7214
2017-07-17,Spain,7259
2017-07-24,Spain,7110
2017-07-31,Spain,7596
2017-08-07,Spain,7186
2017-08-14,Spain,7118
2017-08-21,Spain,7219
2017-08-28,Spain,7013
2017-09-04,Spain,6680
2017-09-11,Spain,6730
2017-09-18,Spain,7091
2017-09-25,Spain,7367
2017-10-02,Spain,7388
2017-10-09,Spain,7234
2017-10-16,Spain,7392
2017-10-23,Spain,7308
2017-10-30,Spain,7511
2017-11-06,Spain,7632
2017-11-13,Spain,8063
2017-11-20,Spain,8169
2017-11-27,Spain,8257
2017-12-04,Spain,8620
2017-12-11,Spain,9262
2017-12-18,Spain,9628
2017-12-25,Spain,10412
2018-01-01,Spain,11204
2018-01-08,Spain,10905
2018-01-15,Spain,10981
2018-01-22,Spain,10324
2018-01-29,Spain,9893
2018-02-05,Spain,10015
2018-02-12,Spain,10105
2018-02-19,Spain,9656
2018-02-26,Spain,9599
2018-03-05,Spain,9203
2018-03-12,Spain,8862
2018-03-19,Spain,8616
2018-03-26,Spain,8628
2018-04-02,Spain,8414
2018-04-09,Spain,8335
2018-04-16,Spain,8112
2018-04-23,Spain,7735
2018-04-30,Spain,7359
2018-05-07,Spain,7595
2018-05-14,Spain,7511
2018-05-21,Spain,7527
2018-05-28,Spain,7306
2018-06-04,Spain,7109
2018-06-11,Spain,7154
2018-06-18,Spain,7713
2018-06-25,Spain,7698
2018-07-02,Spain,7305
2018-07-09,Spain,7366
2018-07-16,Spain,7186
2018-07-23,Spain,7155
2018-07-30,Spain,7731
2018-08-06,Spain,8003
2018-08-13,Spain,7194
2018-08-20,Spain,7015
2018-08-27,Spain,6927
2018-09-03,Spain,6906
2018-09-10,Spain,6834
2018-09-17,Spain,7153
2018-09-24,Spain,7230
2018-10-01,Spain,7210
2018-10-08,Spain,7437
2018-10-15,Spain,7350
2018-10-22,Spain,7327
2018-10-29,Spain,7794
2018-11-05,Spain,8012
2018-11-12,Spain,7999
2018-11-19,Spain,7932
2018-11-26,Spain,7929
2018-12-03,Spain,8051
2018-12-10,Spain,8312
2018-12-17,Spain,8427
2018-12-24,Spain,8650
2019-01-07,Spain,9127
2019-01-14,Spain,10019
2019-01-21,Spain,10473
2019-01-28,Spain,10141
2019-02-04,Spain,9964
2019-02-11,Spain,9676
2019-02-18,Spain,9357
2019-02-25,Spain,9210
2019-03-04,Spain,8919
2019-03-11,Spain,8588
2019-03-18,Spain,8202
2019-03-25,Spain,8022
2019-04-01,Spain,8169
2019-04-08,Spain,8081
2019-04-15,Spain,8049
2019-04-22,Spain,7802
2019-04-29,Spain,7754
2019-05-06,Spain,7742
2019-05-13,Spain,7726
2019-05-20,Spain,7535
2019-05-27,Spain,7429
2019-06-03,Spain,7619
2019-06-10,Spain,7512
2019-06-17,Spain,7010
2019-06-24,Spain,7399
2019-07-01,Spain,7566
2019-07-08,Spain,8048
2019-07-15,Spain,7457
2019-07-22,Spain,7293
2019-07-29,Spain,7461
2019-08-05,Spain,7128
2019-08-12,Spain,7313
2019-08-19,Spain,7117
2019-08-26,Spain,6908
2019-09-02,Spain,6894
2019-09-09,Spain,6890
2019-09-16,Spain,6928
2019-09-23,Spain,6994
2019-09-30,Spain,7019
2019-10-07,Spain,6963
