Data,Totale
2015-01-01,2632
2015-01-02,2182
2015-01-03,2215
2015-01-04,2264
2015-01-05,2301
2015-01-06,2243
2015-01-07,2181
2015-01-08,2207
2015-01-09,2292
2015-01-10,2359
2015-01-11,2228
2015-01-12,2295
2015-01-13,2191
2015-01-14,2209
2015-01-15,2260
2015-01-16,2173
2015-01-17,2181
2015-01-18,2171
2015-01-19,2149
2015-01-20,2150
2015-01-21,2170
2015-01-22,2146
2015-01-23,2078
2015-01-24,2090
2015-01-25,2139
2015-01-26,2104
2015-01-27,2059
2015-01-28,2212
2015-01-29,2169
2015-01-30,2261
2015-01-31,2203
2015-02-01,2220
2015-02-02,2277
2015-02-03,2252
2015-02-04,2225
2015-02-05,2258
2015-02-06,2314
2015-02-07,2175
2015-02-08,2139
2015-02-09,2136
2015-02-10,2252
2015-02-11,2284
2015-02-12,2196
2015-02-13,2300
2015-02-14,2163
2015-02-15,2179
2015-02-16,2258
2015-02-17,2193
2015-02-18,2153
2015-02-19,2069
2015-02-20,2149
2015-02-21,2167
2015-02-22,2160
2015-02-23,2155
2015-02-24,2159
2015-02-25,2052
2015-02-26,2056
2015-02-27,2094
2015-02-28,1996
2015-03-01,2032
2015-03-02,2095
2015-03-03,2070
2015-03-04,2114
2015-03-05,2046
2015-03-06,1955
2015-03-07,1981
2015-03-08,1950
2015-03-09,1993
2015-03-10,2029
2015-03-11,2004
2015-03-12,1995
2015-03-13,1926
2015-03-14,1990
2015-03-15,1909
2015-03-16,1936
2015-03-17,2078
2015-03-18,1875
2015-03-19,1869
2015-03-20,1905
2015-03-21,1956
2015-03-22,1836
2015-03-23,1973
2015-03-24,1911
2015-03-25,1942
2015-03-26,1888
2015-03-27,1849
2015-03-28,1872
2015-03-29,1691
2015-03-30,1904
2015-03-31,1844
2015-04-01,1910
2015-04-02,1771
2015-04-03,1871
2015-04-04,1747
2015-04-05,1785
2015-04-06,1789
2015-04-07,1746
2015-04-08,1810
2015-04-09,1817
2015-04-10,1953
2015-04-11,1809
2015-04-12,1887
2015-04-13,1905
2015-04-14,1823
2015-04-15,1911
2015-04-16,1819
2015-04-17,1834
2015-04-18,1778
2015-04-19,1711
2015-04-20,1722
2015-04-21,1745
2015-04-22,1782
2015-04-23,1779
2015-04-24,1690
2015-04-25,1679
2015-04-26,1649
2015-04-27,1764
2015-04-28,1743
2015-04-29,1694
2015-04-30,1668
2015-05-01,1711
2015-05-02,1656
2015-05-03,1710
2015-05-04,1711
2015-05-05,1852
2015-05-06,1843
2015-05-07,1782
2015-05-08,1777
2015-05-09,1635
2015-05-10,1577
2015-05-11,1647
2015-05-12,1644
2015-05-13,1712
2015-05-14,1662
2015-05-15,1720
2015-05-16,1567
2015-05-17,1566
2015-05-18,1698
2015-05-19,1670
2015-05-20,1585
2015-05-21,1589
2015-05-22,1509
2015-05-23,1482
2015-05-24,1525
2015-05-25,1555
2015-05-26,1635
2015-05-27,1544
2015-05-28,1524
2015-05-29,1549
2015-05-30,1557
2015-05-31,1484
2015-06-01,1631
2015-06-02,1611
2015-06-03,1675
2015-06-04,1758
2015-06-05,1855
2015-06-06,1803
2015-06-07,1727
2015-06-08,1778
2015-06-09,1649
2015-06-10,1650
2015-06-11,1604
2015-06-12,1620
2015-06-13,1598
2015-06-14,1548
2015-06-15,1569
2015-06-16,1577
2015-06-17,1514
2015-06-18,1494
2015-06-19,1503
2015-06-20,1482
2015-06-21,1452
2015-06-22,1488
2015-06-23,1520
2015-06-24,1629
2015-06-25,1510
2015-06-26,1565
2015-06-27,1491
2015-06-28,1605
2015-06-29,1618
2015-06-30,1606
2015-07-01,1709
2015-07-02,1641
2015-07-03,1741
2015-07-04,1729
2015-07-05,1775
2015-07-06,1890
2015-07-07,2078
2015-07-08,2197
2015-07-09,1875
2015-07-10,1769
2015-07-11,1760
2015-07-12,1700
2015-07-13,1846
2015-07-14,1830
2015-07-15,1909
2015-07-16,1914
2015-07-17,1892
