,NOME_COMUNE,DATA,TOTALE
72050,Alzano Lombardo,2016-12-08,1
72051,Alzano Lombardo,2017-12-08,2
72052,Alzano Lombardo,2018-12-08,1
72053,Alzano Lombardo,2019-12-08,1
72054,Alzano Lombardo,2015-11-22,2
72055,Alzano Lombardo,2016-11-22,2
72056,Alzano Lombardo,2017-11-22,1
72057,Alzano Lombardo,2015-11-20,3
72058,Alzano Lombardo,2016-11-20,2
72059,Alzano Lombardo,2018-11-20,2
126529,Alzano Lombardo,2015-12-30,3
126530,Alzano Lombardo,2019-12-30,1
126531,Alzano Lombardo,2016-10-29,1
126532,Alzano Lombardo,2018-10-29,1
126533,Alzano Lombardo,2019-10-29,3
126538,Alzano Lombardo,2016-12-12,1
126539,Alzano Lombardo,2017-12-12,2
126540,Alzano Lombardo,2018-12-12,2
126541,Alzano Lombardo,2015-12-05,1
126542,Alzano Lombardo,2017-12-05,1
126543,Alzano Lombardo,2018-12-05,1
126544,Alzano Lombardo,2019-12-05,2
141597,Alzano Lombardo,2015-10-08,1
141598,Alzano Lombardo,2017-10-08,1
141599,Alzano Lombardo,2018-10-08,2
141600,Alzano Lombardo,2017-10-04,2
141601,Alzano Lombardo,2018-10-04,1
141612,Alzano Lombardo,2015-12-24,1
141613,Alzano Lombardo,2017-12-24,1
141614,Alzano Lombardo,2018-12-24,1
141615,Alzano Lombardo,2015-12-28,1
141616,Alzano Lombardo,2016-12-28,2
141617,Alzano Lombardo,2017-12-28,1
141618,Alzano Lombardo,2018-12-28,1
141624,Alzano Lombardo,2015-10-24,2
141625,Alzano Lombardo,2018-10-24,2
141626,Alzano Lombardo,2019-10-24,1
141627,Alzano Lombardo,2017-11-05,1
141628,Alzano Lombardo,2018-11-05,1
141629,Alzano Lombardo,2017-11-07,1
141630,Alzano Lombardo,2018-11-07,1
141631,Alzano Lombardo,2015-10-17,1
141632,Alzano Lombardo,2018-10-17,1
141633,Alzano Lombardo,2019-10-17,1
141634,Alzano Lombardo,2018-11-28,2
141635,Alzano Lombardo,2019-11-28,1
141636,Alzano Lombardo,2015-11-23,1
141637,Alzano Lombardo,2017-11-23,1
141638,Alzano Lombardo,2018-11-23,2
141652,Alzano Lombardo,2015-12-21,1
141653,Alzano Lombardo,2016-12-21,1
