,NOME_COMUNE,DATA,TOTALE
3719,Bergamo,2015-12-19,5
3720,Bergamo,2016-12-19,6
3721,Bergamo,2017-12-19,3
3722,Bergamo,2018-12-19,6
3723,Bergamo,2019-12-19,8
3963,Bergamo,2015-12-26,3
3964,Bergamo,2016-12-26,6
3965,Bergamo,2017-12-26,6
3966,Bergamo,2018-12-26,2
3967,Bergamo,2019-12-26,2
3968,Bergamo,2015-12-16,3
3969,Bergamo,2016-12-16,1
3970,Bergamo,2017-12-16,8
3971,Bergamo,2018-12-16,6
3972,Bergamo,2019-12-16,9
7133,Bergamo,2015-11-07,3
7134,Bergamo,2016-11-07,5
7135,Bergamo,2017-11-07,3
7136,Bergamo,2018-11-07,11
7137,Bergamo,2019-11-07,2
7138,Bergamo,2015-12-30,7
7139,Bergamo,2016-12-30,9
7140,Bergamo,2017-12-30,7
7141,Bergamo,2018-12-30,5
7142,Bergamo,2019-12-30,2
7143,Bergamo,2015-10-20,4
7144,Bergamo,2016-10-20,4
7145,Bergamo,2017-10-20,3
7146,Bergamo,2018-10-20,1
7147,Bergamo,2019-10-20,5
7148,Bergamo,2015-10-15,4
7149,Bergamo,2016-10-15,3
7150,Bergamo,2017-10-15,4
7151,Bergamo,2018-10-15,1
7152,Bergamo,2019-10-15,7
7153,Bergamo,2015-11-10,3
7154,Bergamo,2016-11-10,2
7155,Bergamo,2017-11-10,3
7156,Bergamo,2018-11-10,2
7157,Bergamo,2019-11-10,3
7158,Bergamo,2015-11-16,5
7159,Bergamo,2016-11-16,6
7160,Bergamo,2017-11-16,6
7161,Bergamo,2018-11-16,7
7162,Bergamo,2019-11-16,7
7163,Bergamo,2015-10-04,8
7164,Bergamo,2016-10-04,6
7165,Bergamo,2018-10-04,8
7166,Bergamo,2019-10-04,4
7167,Bergamo,2015-11-03,7
7168,Bergamo,2016-11-03,4
7169,Bergamo,2017-11-03,4
7170,Bergamo,2018-11-03,3
7171,Bergamo,2019-11-03,1
7172,Bergamo,2015-10-28,3
7173,Bergamo,2016-10-28,4
7174,Bergamo,2017-10-28,3
7175,Bergamo,2018-10-28,5
7176,Bergamo,2019-10-28,5
7177,Bergamo,2015-10-29,2
7178,Bergamo,2016-10-29,4
7179,Bergamo,2017-10-29,1
7180,Bergamo,2018-10-29,4
7181,Bergamo,2019-10-29,3
7182,Bergamo,2015-12-05,3
7183,Bergamo,2016-12-05,5
7184,Bergamo,2017-12-05,4
7185,Bergamo,2018-12-05,6
7186,Bergamo,2019-12-05,4
7187,Bergamo,2015-10-13,5
7188,Bergamo,2016-10-13,6
7189,Bergamo,2017-10-13,3
7190,Bergamo,2018-10-13,8
7191,Bergamo,2019-10-13,2
12944,Bergamo,2015-11-06,5
12945,Bergamo,2016-11-06,5
12946,Bergamo,2017-11-06,6
12947,Bergamo,2018-11-06,4
12948,Bergamo,2019-11-06,5
12949,Bergamo,2015-11-02,3
12950,Bergamo,2016-11-02,2
12951,Bergamo,2017-11-02,7
12952,Bergamo,2018-11-02,2
12953,Bergamo,2019-11-02,2
12954,Bergamo,2015-12-14,4
12955,Bergamo,2016-12-14,5
12956,Bergamo,2017-12-14,2
12957,Bergamo,2018-12-14,6
12958,Bergamo,2019-12-14,3
12959,Bergamo,2015-10-10,4
12960,Bergamo,2016-10-10,7
12961,Bergamo,2017-10-10,2
12962,Bergamo,2018-10-10,5
12963,Bergamo,2019-10-10,5
12964,Bergamo,2015-12-08,6
12965,Bergamo,2016-12-08,6
12966,Bergamo,2017-12-08,4
12967,Bergamo,2018-12-08,3
12968,Bergamo,2019-12-08,3
12969,Bergamo,2015-12-25,2
12970,Bergamo,2016-12-25,4
12971,Bergamo,2017-12-25,7
12972,Bergamo,2018-12-25,7
12973,Bergamo,2019-12-25,3
12974,Bergamo,2015-11-20,10
12975,Bergamo,2016-11-20,5
12976,Bergamo,2017-11-20,11
12977,Bergamo,2018-11-20,7
12978,Bergamo,2019-11-20,3
12979,Bergamo,2015-11-17,5
12980,Bergamo,2016-11-17,6
12981,Bergamo,2017-11-17,4
12982,Bergamo,2018-11-17,5
12983,Bergamo,2019-11-17,1
12984,Bergamo,2015-10-02,2
12985,Bergamo,2016-10-02,4
12986,Bergamo,2017-10-02,8
12987,Bergamo,2018-10-02,5
12988,Bergamo,2019-10-02,5
12989,Bergamo,2015-11-15,4
12990,Bergamo,2016-11-15,4
12991,Bergamo,2017-11-15,11
12992,Bergamo,2018-11-15,4
12993,Bergamo,2019-11-15,3
12994,Bergamo,2015-11-22,4
12995,Bergamo,2016-11-22,6
12996,Bergamo,2017-11-22,5
12997,Bergamo,2018-11-22,6
12998,Bergamo,2019-11-22,6
12999,Bergamo,2015-10-24,5
13000,Bergamo,2016-10-24,6
13001,Bergamo,2017-10-24,6
13002,Bergamo,2018-10-24,4
13003,Bergamo,2019-10-24,6
13004,Bergamo,2015-11-18,5
13005,Bergamo,2016-11-18,2
13006,Bergamo,2017-11-18,3
13007,Bergamo,2018-11-18,2
13008,Bergamo,2019-11-18,3
13009,Bergamo,2015-10-01,4
13010,Bergamo,2016-10-01,3
13011,Bergamo,2017-10-01,6
13012,Bergamo,2018-10-01,3
13013,Bergamo,2019-10-01,2
13014,Bergamo,2015-10-14,3
13015,Bergamo,2016-10-14,6
13016,Bergamo,2018-10-14,6
13017,Bergamo,2019-10-14,3
13018,Bergamo,2015-10-07,6
13019,Bergamo,2016-10-07,3
13020,Bergamo,2017-10-07,5
13021,Bergamo,2018-10-07,6
13022,Bergamo,2019-10-07,9
13023,Bergamo,2015-10-09,4
13024,Bergamo,2016-10-09,5
13025,Bergamo,2017-10-09,4
13026,Bergamo,2018-10-09,3
13027,Bergamo,2019-10-09,3
13028,Bergamo,2015-11-13,3
13029,Bergamo,2016-11-13,3
13030,Bergamo,2017-11-13,3
13031,Bergamo,2018-11-13,5
13032,Bergamo,2019-11-13,6
13033,Bergamo,2015-11-12,3
13034,Bergamo,2016-11-12,3
13035,Bergamo,2017-11-12,6
13036,Bergamo,2018-11-12,5
13037,Bergamo,2019-11-12,3
13038,Bergamo,2015-11-09,2
13039,Bergamo,2016-11-09,4
13040,Bergamo,2017-11-09,3
13041,Bergamo,2018-11-09,2
13042,Bergamo,2019-11-09,6
13043,Bergamo,2015-11-04,5
13044,Bergamo,2016-11-04,6
13045,Bergamo,2017-11-04,4
13046,Bergamo,2018-11-04,5
13047,Bergamo,2019-11-04,3
13048,Bergamo,2015-10-12,2
13049,Bergamo,2016-10-12,2
13050,Bergamo,2017-10-12,5
13051,Bergamo,2018-10-12,4
13052,Bergamo,2019-10-12,4
23108,Bergamo,2015-12-31,3
23109,Bergamo,2016-12-31,8
23110,Bergamo,2017-12-31,4
23111,Bergamo,2018-12-31,5
23112,Bergamo,2019-12-31,3
23113,Bergamo,2015-12-17,5
23114,Bergamo,2016-12-17,1
23115,Bergamo,2017-12-17,4
23116,Bergamo,2018-12-17,1
23117,Bergamo,2019-12-17,4
23118,Bergamo,2015-12-24,7
23119,Bergamo,2016-12-24,6
23120,Bergamo,2017-12-24,5
23121,Bergamo,2018-12-24,3
23122,Bergamo,2019-12-24,6
23123,Bergamo,2015-12-27,4
23124,Bergamo,2016-12-27,2
23125,Bergamo,2017-12-27,12
23126,Bergamo,2019-12-27,4
23127,Bergamo,2015-12-09,3
23128,Bergamo,2016-12-09,3
23129,Bergamo,2017-12-09,4
23130,Bergamo,2018-12-09,1
23131,Bergamo,2019-12-09,4
23132,Bergamo,2015-10-06,6
23133,Bergamo,2016-10-06,4
23134,Bergamo,2017-10-06,3
23135,Bergamo,2018-10-06,3
23136,Bergamo,2019-10-06,2
23137,Bergamo,2015-10-05,4
23138,Bergamo,2017-10-05,3
23139,Bergamo,2018-10-05,6
23140,Bergamo,2019-10-05,3
23141,Bergamo,2015-12-12,4
23142,Bergamo,2016-12-12,5
23143,Bergamo,2017-12-12,2
23144,Bergamo,2018-12-12,1
23145,Bergamo,2019-12-12,6
23146,Bergamo,2015-11-27,4
23147,Bergamo,2016-11-27,6
23148,Bergamo,2017-11-27,1
23149,Bergamo,2018-11-27,1
23150,Bergamo,2019-11-27,8
23151,Bergamo,2015-10-16,7
23152,Bergamo,2016-10-16,2
23153,Bergamo,2017-10-16,3
23154,Bergamo,2018-10-16,3
23155,Bergamo,2019-10-16,4
23156,Bergamo,2015-10-31,4
23157,Bergamo,2016-10-31,5
23158,Bergamo,2017-10-31,4
23159,Bergamo,2018-10-31,2
23160,Bergamo,2019-10-31,3
23161,Bergamo,2015-10-26,3
23162,Bergamo,2016-10-26,4
23163,Bergamo,2017-10-26,3
23164,Bergamo,2018-10-26,5
23165,Bergamo,2019-10-26,7
23166,Bergamo,2015-12-20,3
23167,Bergamo,2016-12-20,5
23168,Bergamo,2017-12-20,4
23169,Bergamo,2018-12-20,3
23170,Bergamo,2019-12-20,2
23171,Bergamo,2015-10-03,6
23172,Bergamo,2016-10-03,3
23173,Bergamo,2017-10-03,1
23174,Bergamo,2018-10-03,3
23175,Bergamo,2019-10-03,2
23176,Bergamo,2015-10-23,3
23177,Bergamo,2016-10-23,1
23178,Bergamo,2017-10-23,4
23179,Bergamo,2018-10-23,1
23180,Bergamo,2019-10-23,5
23181,Bergamo,2015-11-23,2
23182,Bergamo,2016-11-23,4
23183,Bergamo,2017-11-23,8
23184,Bergamo,2018-11-23,3
23185,Bergamo,2019-11-23,5
23186,Bergamo,2015-11-05,3
23187,Bergamo,2016-11-05,1
23188,Bergamo,2017-11-05,5
23189,Bergamo,2018-11-05,2
23190,Bergamo,2019-11-05,5
23191,Bergamo,2015-12-22,6
23192,Bergamo,2016-12-22,2
23193,Bergamo,2017-12-22,2
23194,Bergamo,2018-12-22,3
23195,Bergamo,2019-12-22,2
23196,Bergamo,2015-11-28,3
23197,Bergamo,2016-11-28,4
23198,Bergamo,2017-11-28,7
23199,Bergamo,2018-11-28,3
23200,Bergamo,2019-11-28,4
23201,Bergamo,2015-10-11,4
23202,Bergamo,2016-10-11,1
23203,Bergamo,2017-10-11,6
23204,Bergamo,2018-10-11,4
23205,Bergamo,2019-10-11,3
23206,Bergamo,2015-12-06,6
23207,Bergamo,2016-12-06,8
23208,Bergamo,2017-12-06,4
23209,Bergamo,2018-12-06,5
23210,Bergamo,2019-12-06,1
23211,Bergamo,2015-10-21,4
23212,Bergamo,2016-10-21,2
23213,Bergamo,2017-10-21,2
23214,Bergamo,2018-10-21,5
23215,Bergamo,2019-10-21,5
25468,Bergamo,2015-12-18,2
25469,Bergamo,2016-12-18,3
25470,Bergamo,2017-12-18,7
25471,Bergamo,2018-12-18,2
25472,Bergamo,2019-12-18,5
25473,Bergamo,2015-10-17,1
25474,Bergamo,2016-10-17,6
25475,Bergamo,2017-10-17,3
25476,Bergamo,2018-10-17,4
25477,Bergamo,2019-10-17,5
25478,Bergamo,2015-11-01,1
25479,Bergamo,2016-11-01,3
25480,Bergamo,2017-11-01,4
25481,Bergamo,2018-11-01,1
25482,Bergamo,2019-11-01,9
