,NOME_COMUNE,DATA,TOTALE
21379,Crema,2015-12-29,5
21380,Crema,2016-12-29,4
21381,Crema,2017-12-29,1
21382,Crema,2019-12-29,1
21383,Crema,2015-11-16,1
21384,Crema,2017-11-16,2
21385,Crema,2018-11-16,1
21386,Crema,2019-11-16,3
21387,Crema,2015-11-06,1
21388,Crema,2016-11-06,3
21389,Crema,2018-11-06,1
21390,Crema,2019-11-06,2
21391,Crema,2015-11-11,3
21392,Crema,2016-11-11,1
21393,Crema,2018-11-11,1
21394,Crema,2019-11-11,3
21395,Crema,2015-11-04,3
21396,Crema,2016-11-04,2
21397,Crema,2017-11-04,1
21398,Crema,2018-11-04,3
36763,Crema,2015-10-14,2
36764,Crema,2016-10-14,3
36765,Crema,2018-10-14,3
36766,Crema,2019-10-14,1
36767,Crema,2015-11-07,4
36768,Crema,2016-11-07,1
36769,Crema,2017-11-07,2
36770,Crema,2015-10-29,1
36771,Crema,2016-10-29,3
36772,Crema,2018-10-29,2
36773,Crema,2019-10-29,2
37582,Crema,2015-10-13,2
37583,Crema,2016-10-13,4
37584,Crema,2015-10-18,1
37585,Crema,2016-10-18,2
37586,Crema,2017-10-18,1
37587,Crema,2018-10-18,3
37588,Crema,2019-10-18,3
37589,Crema,2015-12-02,2
37590,Crema,2016-12-02,3
37591,Crema,2017-12-02,1
37592,Crema,2018-12-02,2
37593,Crema,2015-10-30,2
37594,Crema,2016-10-30,2
37595,Crema,2017-10-30,2
37596,Crema,2019-10-30,2
37597,Crema,2019-11-01,5
37598,Crema,2015-12-03,1
37599,Crema,2016-12-03,3
37600,Crema,2017-12-03,2
37601,Crema,2019-12-03,1
37602,Crema,2015-11-13,2
37603,Crema,2016-11-13,1
37604,Crema,2017-11-13,1
37605,Crema,2018-11-13,1
37606,Crema,2016-10-16,1
37607,Crema,2017-10-16,1
37608,Crema,2018-10-16,1
37609,Crema,2019-10-16,2
37610,Crema,2015-10-03,3
37611,Crema,2017-10-03,4
37612,Crema,2015-12-13,1
37613,Crema,2016-12-13,1
37614,Crema,2017-12-13,3
37615,Crema,2019-12-13,2
37616,Crema,2016-10-28,8
37617,Crema,2017-10-28,1
37618,Crema,2018-10-28,2
37619,Crema,2019-10-28,2
37620,Crema,2015-12-14,3
37621,Crema,2016-12-14,2
37622,Crema,2017-12-14,2
37623,Crema,2018-12-14,2
37624,Crema,2019-12-14,1
66483,Crema,2015-12-27,1
66484,Crema,2016-12-27,3
66485,Crema,2017-12-27,2
66486,Crema,2018-12-27,1
66487,Crema,2019-12-27,1
66488,Crema,2015-11-29,2
66489,Crema,2016-11-29,2
66490,Crema,2018-11-29,2
66491,Crema,2019-11-29,1
66492,Crema,2017-10-15,1
66493,Crema,2018-10-15,1
66494,Crema,2019-10-15,3
66495,Crema,2015-10-07,2
66496,Crema,2016-10-07,2
66497,Crema,2017-10-07,1
66498,Crema,2018-10-07,2
66499,Crema,2019-10-07,1
66500,Crema,2015-10-09,1
66501,Crema,2016-10-09,1
66502,Crema,2017-10-09,1
66503,Crema,2018-10-09,3
66504,Crema,2019-10-09,1
66505,Crema,2016-10-23,5
66506,Crema,2016-11-19,3
66507,Crema,2017-11-19,5
66508,Crema,2019-11-19,2
66509,Crema,2015-11-18,2
66510,Crema,2016-11-18,1
66511,Crema,2017-11-18,2
66512,Crema,2018-11-18,2
66513,Crema,2019-11-18,1
66514,Crema,2015-10-05,1
66515,Crema,2016-10-05,1
66516,Crema,2017-10-05,1
66517,Crema,2018-10-05,2
66518,Crema,2015-10-20,3
66519,Crema,2016-10-20,1
66520,Crema,2017-10-20,2
66521,Crema,2018-10-20,2
66522,Crema,2019-10-20,1
66523,Crema,2016-10-11,2
66524,Crema,2017-10-11,1
66525,Crema,2019-10-11,2
66526,Crema,2015-12-10,3
66527,Crema,2017-12-10,2
66528,Crema,2018-12-10,2
66529,Crema,2019-12-10,4
66530,Crema,2015-12-31,2
66531,Crema,2016-12-31,3
66532,Crema,2017-12-31,1
66533,Crema,2015-11-14,2
66534,Crema,2016-11-14,2
66535,Crema,2019-11-14,1
66536,Crema,2016-11-09,1
66537,Crema,2017-11-09,2
66538,Crema,2018-11-09,1
66539,Crema,2019-11-09,3
66540,Crema,2015-10-25,2
66541,Crema,2017-10-25,1
66542,Crema,2018-10-25,1
66543,Crema,2019-10-25,3
66544,Crema,2015-12-04,1
66545,Crema,2016-12-04,3
66546,Crema,2017-12-04,2
66547,Crema,2019-12-04,1
121645,Crema,2015-10-19,2
121646,Crema,2016-10-19,2
121647,Crema,2019-10-19,1
121648,Crema,2015-12-07,2
121649,Crema,2017-12-07,1
121650,Crema,2018-12-07,2
121651,Crema,2019-12-07,2
121652,Crema,2016-12-09,2
121653,Crema,2017-12-09,1
121654,Crema,2018-12-09,2
121655,Crema,2015-12-16,2
121656,Crema,2016-12-16,1
121657,Crema,2017-12-16,2
121658,Crema,2015-10-24,1
121659,Crema,2016-10-24,1
121660,Crema,2017-10-24,1
121661,Crema,2018-10-24,2
121662,Crema,2015-12-25,2
121663,Crema,2016-12-25,1
121664,Crema,2017-12-25,1
121665,Crema,2019-12-25,2
121666,Crema,2016-11-30,1
121667,Crema,2017-11-30,1
121668,Crema,2018-11-30,3
121669,Crema,2017-10-26,2
121670,Crema,2018-10-26,1
121671,Crema,2016-11-12,1
121672,Crema,2019-11-12,1
121673,Crema,2016-11-08,2
121674,Crema,2018-11-08,2
121675,Crema,2019-11-08,1
121676,Crema,2015-12-28,1
121677,Crema,2017-12-28,3
121678,Crema,2018-12-28,1
121679,Crema,2016-10-21,1
121680,Crema,2018-10-21,2
121681,Crema,2019-10-21,1
121682,Crema,2015-11-25,3
121683,Crema,2016-11-25,1
121684,Crema,2015-11-15,1
121685,Crema,2016-11-15,1
121686,Crema,2018-11-15,4
121687,Crema,2019-11-15,1
121688,Crema,2016-11-10,1
121689,Crema,2017-11-10,2
121690,Crema,2018-11-10,2
121691,Crema,2016-12-30,2
121692,Crema,2017-12-30,2
121693,Crema,2018-12-30,1
121694,Crema,2019-12-30,2
121695,Crema,2015-11-24,2
121696,Crema,2016-11-24,1
121697,Crema,2018-11-24,2
121698,Crema,2019-11-24,1
121699,Crema,2016-11-26,1
121700,Crema,2017-11-26,1
121701,Crema,2018-11-26,3
121702,Crema,2015-11-02,2
121703,Crema,2016-11-02,1
121704,Crema,2019-11-02,1
121705,Crema,2015-10-27,2
121706,Crema,2016-10-27,3
121707,Crema,2018-10-27,2
121708,Crema,2015-11-28,1
121709,Crema,2016-11-28,1
121710,Crema,2017-11-28,3
121711,Crema,2019-11-28,2
121712,Crema,2015-12-23,1
121713,Crema,2017-12-23,2
121714,Crema,2018-12-23,2
121715,Crema,2019-12-23,2
121716,Crema,2015-12-17,1
121717,Crema,2016-12-17,3
121718,Crema,2017-12-17,1
121719,Crema,2018-12-17,1
121720,Crema,2017-11-03,1
121721,Crema,2018-11-03,2
121722,Crema,2015-12-20,1
121723,Crema,2016-12-20,1
121724,Crema,2018-12-20,1
121725,Crema,2019-12-20,3
121726,Crema,2015-10-08,2
121727,Crema,2016-10-08,1
121728,Crema,2017-10-08,2
121729,Crema,2015-10-10,1
121730,Crema,2017-10-10,1
121731,Crema,2015-11-05,2
121732,Crema,2017-11-05,1
121733,Crema,2018-11-05,1
121734,Crema,2019-11-05,2
121735,Crema,2015-10-04,1
121736,Crema,2017-10-04,3
121737,Crema,2018-10-04,1
201543,Crema,2017-11-21,1
201544,Crema,2018-11-21,1
201545,Crema,2019-11-21,2
201546,Crema,2015-11-27,1
201547,Crema,2016-11-27,1
201548,Crema,2017-11-27,1
201549,Crema,2018-11-27,1
201550,Crema,2016-10-31,1
201551,Crema,2018-10-31,1
201552,Crema,2019-10-31,3
201553,Crema,2015-12-26,1
201554,Crema,2017-12-26,2
201555,Crema,2018-12-26,1
201556,Crema,2015-12-01,1
201557,Crema,2017-12-01,4
201558,Crema,2018-12-01,2
201559,Crema,2015-12-22,1
201560,Crema,2017-12-22,2
201561,Crema,2019-12-22,2
201562,Crema,2016-12-24,1
201563,Crema,2019-12-24,2
201564,Crema,2016-11-20,1
201565,Crema,2017-11-20,1
201566,Crema,2018-11-20,2
201567,Crema,2019-11-20,1
201568,Crema,2015-12-06,2
201569,Crema,2018-12-06,1
201570,Crema,2019-12-06,1
201571,Crema,2015-12-19,1
201572,Crema,2018-12-19,1
201573,Crema,2019-12-19,1
201574,Crema,2015-12-12,2
201575,Crema,2016-12-12,1
201576,Crema,2018-12-12,1
201577,Crema,2015-12-18,2
201578,Crema,2017-12-18,2
201579,Crema,2017-10-17,1
201580,Crema,2018-10-17,2
201581,Crema,2019-10-17,1
201582,Crema,2015-11-17,1
201583,Crema,2017-11-17,1
201584,Crema,2019-11-17,1
201588,Crema,2018-11-22,2
201589,Crema,2019-11-22,2
236777,Crema,2016-12-08,1
236778,Crema,2017-12-08,1
236781,Crema,2017-10-22,1
236782,Crema,2018-10-22,2
236783,Crema,2015-12-11,1
236784,Crema,2017-12-11,1
236785,Crema,2018-12-11,1
236786,Crema,2015-10-01,1
236787,Crema,2016-10-01,1
236788,Crema,2017-10-01,2
236799,Crema,2016-10-06,1
236800,Crema,2015-11-23,1
236801,Crema,2018-11-23,1
236814,Crema,2015-10-12,1
236815,Crema,2018-10-12,1
236822,Crema,2015-12-15,1
236823,Crema,2019-12-15,2
236824,Crema,2017-12-21,1
236825,Crema,2019-12-21,2
375292,Crema,2019-12-05,1
1047638,Crema,2015-02-17,1
1047639,Crema,2016-02-17,1
1047640,Crema,2018-02-17,3
1047641,Crema,2019-02-17,4
1047684,Crema,2015-08-06,2
1047685,Crema,2017-08-06,2
1047686,Crema,2018-08-06,1
1047687,Crema,2017-08-01,2
1047688,Crema,2019-08-01,1
1047689,Crema,2015-07-28,1
1047690,Crema,2017-07-28,1
1047691,Crema,2018-07-28,3
1047692,Crema,2019-07-28,1
1047693,Crema,2016-07-19,1
1047694,Crema,2017-07-19,1
1047695,Crema,2019-07-19,1
1047696,Crema,2016-07-18,1
1047697,Crema,2017-09-12,2
1047698,Crema,2018-09-12,1
1047699,Crema,2015-01-19,1
1047700,Crema,2016-01-19,3
1047701,Crema,2017-01-19,1
1047702,Crema,2015-02-23,2
1047703,Crema,2016-02-23,1
1047704,Crema,2017-02-23,1
1047705,Crema,2018-02-23,3
1047706,Crema,2015-03-07,1
1047707,Crema,2016-03-07,1
1047708,Crema,2017-03-07,1
1047709,Crema,2018-03-07,1
1047710,Crema,2019-03-07,1
1047711,Crema,2016-05-31,2
1047712,Crema,2017-05-31,3
1047713,Crema,2019-05-31,1
1047714,Crema,2015-04-16,2
1047715,Crema,2017-04-16,5
1047716,Crema,2018-04-16,1
1047717,Crema,2019-04-16,1
1047718,Crema,2015-05-01,2
1047719,Crema,2017-05-01,2
