,NOME_COMUNE,DATA,TOTALE
126786,Nembro,2015-10-31,1
126787,Nembro,2017-10-31,1
126788,Nembro,2019-10-31,2
141822,Nembro,2015-12-12,1
141823,Nembro,2017-12-12,1
141824,Nembro,2018-12-12,1
141825,Nembro,2019-12-12,2
141826,Nembro,2016-12-10,1
141827,Nembro,2017-12-10,1
141828,Nembro,2018-12-10,1
141829,Nembro,2016-11-05,1
141830,Nembro,2018-11-05,2
141831,Nembro,2019-11-05,1
141834,Nembro,2015-12-14,1
141835,Nembro,2019-12-14,2
141839,Nembro,2017-10-15,2
141840,Nembro,2018-10-15,2
141841,Nembro,2016-11-27,2
141842,Nembro,2017-11-27,1
141843,Nembro,2016-12-29,1
141844,Nembro,2018-12-29,1
141845,Nembro,2019-12-29,1
141846,Nembro,2015-10-04,1
141847,Nembro,2017-10-04,1
141848,Nembro,2015-12-15,1
141849,Nembro,2016-12-15,1
141850,Nembro,2019-12-15,1
141854,Nembro,2015-10-17,1
141855,Nembro,2016-10-17,1
141856,Nembro,2018-10-17,1
259051,Nembro,2015-12-21,2
259052,Nembro,2016-12-21,1
259053,Nembro,2015-12-06,1
259054,Nembro,2018-12-06,1
259055,Nembro,2017-10-09,1
259056,Nembro,2018-10-09,1
259061,Nembro,2016-12-04,1
259062,Nembro,2017-12-04,1
259063,Nembro,2016-12-27,2
259064,Nembro,2017-12-27,1
259073,Nembro,2017-11-15,1
259074,Nembro,2015-11-29,1
259075,Nembro,2019-11-29,1
259079,Nembro,2015-11-03,1
259082,Nembro,2016-10-03,1
259083,Nembro,2019-10-03,1
259086,Nembro,2015-10-07,1
259087,Nembro,2019-10-07,1
259088,Nembro,2019-11-13,1
259089,Nembro,2016-11-11,1
259090,Nembro,2015-11-20,1
259091,Nembro,2018-11-20,1
259092,Nembro,2017-11-30,1
259093,Nembro,2018-11-30,1
259094,Nembro,2015-12-03,1
259095,Nembro,2019-12-03,1
259103,Nembro,2016-12-08,1
259104,Nembro,2018-12-08,1
259105,Nembro,2016-12-13,2
259106,Nembro,2019-12-13,1
259107,Nembro,2015-10-29,1
259108,Nembro,2018-10-29,1
259109,Nembro,2016-10-24,1
259110,Nembro,2018-10-24,1
259122,Nembro,2015-10-13,1
259123,Nembro,2019-10-13,1
259124,Nembro,2016-10-21,1
259125,Nembro,2017-10-21,1
259126,Nembro,2018-10-21,1
259127,Nembro,2015-10-22,1
259128,Nembro,2018-10-22,1
259129,Nembro,2016-12-25,2
259131,Nembro,2015-12-11,1
259132,Nembro,2016-12-11,1
259133,Nembro,2017-11-17,1
259134,Nembro,2017-11-26,1
259135,Nembro,2018-11-26,2
259139,Nembro,2017-10-14,1
259140,Nembro,2018-10-14,1
259141,Nembro,2017-12-07,2
259145,Nembro,2015-12-01,1
259146,Nembro,2016-12-01,1
