DATA,TOTALE
2015-01-01,2508
2015-01-02,2079
2015-01-03,2107
2015-01-04,2135
2015-01-05,2199
2015-01-06,2132
2015-01-07,2073
2015-01-08,2085
2015-01-09,2178
2015-01-10,2224
2015-01-11,2110
2015-01-12,2155
2015-01-13,2067
2015-01-14,2098
2015-01-15,2143
2015-01-16,2046
2015-01-17,2072
2015-01-18,2052
2015-01-19,2022
2015-01-20,2019
2015-01-21,2046
2015-01-22,2032
2015-01-23,1958
2015-01-24,1962
2015-01-25,2037
2015-01-26,1992
2015-01-27,1949
2015-01-28,2099
2015-01-29,2065
2015-01-30,2143
2015-01-31,2100
2015-02-01,2091
2015-02-02,2158
2015-02-03,2120
2015-02-04,2095
2015-02-05,2159
2015-02-06,2195
2015-02-07,2055
2015-02-08,2029
2015-02-09,2023
2015-02-10,2131
2015-02-11,2147
2015-02-12,2112
2015-02-13,2163
2015-02-14,2048
2015-02-15,2059
2015-02-16,2152
2015-02-17,2064
2015-02-18,2029
2015-02-19,1968
2015-02-20,2045
2015-02-21,2059
2015-02-22,2031
2015-02-23,2064
2015-02-24,2047
2015-02-25,1935
2015-02-26,1931
2015-02-27,1986
2015-02-28,1891
2015-03-01,1933
2015-03-02,1979
2015-03-03,1951
2015-03-04,1988
2015-03-05,1932
2015-03-06,1848
2015-03-07,1865
2015-03-08,1829
2015-03-09,1892
2015-03-10,1941
2015-03-11,1880
2015-03-12,1886
2015-03-13,1835
2015-03-14,1890
2015-03-15,1798
2015-03-16,1810
2015-03-17,1957
2015-03-18,1775
2015-03-19,1790
2015-03-20,1804
2015-03-21,1854
2015-03-22,1716
2015-03-23,1877
2015-03-24,1797
2015-03-25,1846
2015-03-26,1781
2015-03-27,1746
2015-03-28,1777
2015-03-29,1594
2015-03-30,1794
2015-03-31,1737
2015-04-01,1819
2015-04-02,1682
2015-04-03,1780
2015-04-04,1662
2015-04-05,1705
2015-04-06,1701
2015-04-07,1670
2015-04-08,1730
2015-04-09,1718
2015-04-10,1853
2015-04-11,1695
2015-04-12,1775
2015-04-13,1809
2015-04-14,1732
2015-04-15,1821
2015-04-16,1716
2015-04-17,1745
2015-04-18,1686
2015-04-19,1631
2015-04-20,1642
2015-04-21,1646
2015-04-22,1692
2015-04-23,1708
2015-04-24,1595
2015-04-25,1591
2015-04-26,1580
2015-04-27,1658
2015-04-28,1671
2015-04-29,1602
2015-04-30,1591
2015-05-01,1634
2015-05-02,1562
2015-05-03,1611
2015-05-04,1624
2015-05-05,1762
2015-05-06,1739
2015-05-07,1688
2015-05-08,1685
2015-05-09,1557
2015-05-10,1501
2015-05-11,1555
2015-05-12,1558
2015-05-13,1636
2015-05-14,1594
2015-05-15,1627
2015-05-16,1495
2015-05-17,1487
2015-05-18,1605
2015-05-19,1578
2015-05-20,1491
2015-05-21,1506
2015-05-22,1422
2015-05-23,1407
2015-05-24,1442
2015-05-25,1476
2015-05-26,1544
2015-05-27,1480
2015-05-28,1443
2015-05-29,1469
2015-05-30,1486
2015-05-31,1391
2015-06-01,1553
2015-06-02,1539
2015-06-03,1610
2015-06-04,1669
2015-06-05,1758
2015-06-06,1716
2015-06-07,1639
2015-06-08,1695
2015-06-09,1562
2015-06-10,1561
2015-06-11,1528
2015-06-12,1561
2015-06-13,1519
2015-06-14,1461
2015-06-15,1489
2015-06-16,1487
2015-06-17,1451
2015-06-18,1419
2015-06-19,1423
2015-06-20,1412
2015-06-21,1383
2015-06-22,1416
2015-06-23,1442
2015-06-24,1560
2015-06-25,1447
2015-06-26,1494
2015-06-27,1400
2015-06-28,1520
2015-06-29,1528
2015-06-30,1529
2015-07-01,1621
2015-07-02,1572
2015-07-03,1667
2015-07-04,1632
2015-07-05,1680
2015-07-06,1806
2015-07-07,1988
2015-07-08,2101
2015-07-09,1769
2015-07-10,1684
2015-07-11,1680
2015-07-12,1613
2015-07-13,1749
2015-07-14,1750
2015-07-15,1820
2015-07-16,1816
2015-07-17,1800
2015-07-18,1803
2015-07-19,1899
2015-07-20,1948
2015-07-21,2009
2015-07-22,2209
2015-07-23,2106
2015-07-24,1968
