data,decessi
2020-03-22,44.0
2020-03-23,33.0
2020-03-24,46.0
2020-03-25,32.0
2020-03-26,39.0
2020-03-27,32.0
2020-03-28,48.0
2020-03-29,44.0
2020-03-30,34.0
2020-03-31,40.0
2020-04-01,44.0
2020-04-02,32.0
2020-04-03,25.0
2020-04-04,26.0
2020-04-05,27.0
2020-04-06,16.0
2020-04-07,21.0
2020-04-08,21.0
2020-04-09,23.0
2020-04-10,27.0
2020-04-11,15.0
2020-04-12,21.0
2020-04-13,20.0
2020-04-14,17.0
2020-04-15,26.0
2020-04-16,18.0
2020-04-17,13.0
2020-04-18,12.0
2020-04-19,21.0
2020-04-20,31.0
2020-04-21,23.0
2020-04-22,16.0
2020-04-23,23.0
2020-04-24,15.0
2020-04-25,16.0
2020-04-26,8.0
2020-04-27,17.0
2020-04-28,21.0
2020-04-29,18.0
2020-04-30,12.0
2020-05-01,12.0
2020-05-02,12.0
2020-05-03,4.0
2020-05-04,12.0
2020-05-05,8.0
2020-05-06,16.0
2020-05-07,12.0
2020-05-08,12.0
2020-05-09,7.0
2020-05-10,8.0
2020-05-11,10.0
2020-05-12,4.0
2020-05-13,5.0
2020-05-14,6.0
2020-05-15,5.0
2020-05-16,3.0
2020-05-17,2.0
2020-05-18,5.0
2020-05-19,1.0
2020-05-20,5.0
2020-05-21,3.0
2020-05-22,7.0
