denominazione_provincia,data,denominazione_regione,totale_casi
Piacenza,2020-02-24,Emilia-Romagna,0
Ravenna,2020-02-24,Emilia-Romagna,0
Gorizia,2020-02-24,Friuli Venezia Giulia,0
Trieste,2020-02-24,Friuli Venezia Giulia,0
Pordenone,2020-02-24,Friuli Venezia Giulia,0
Sondrio,2020-02-24,Lombardia,0
Ragusa,2020-02-24,Sicilia,0
Rovigo,2020-02-24,Veneto,0
Piacenza,2020-02-25,Emilia-Romagna,18
Ravenna,2020-02-25,Emilia-Romagna,0
Gorizia,2020-02-25,Friuli Venezia Giulia,0
Trieste,2020-02-25,Friuli Venezia Giulia,0
Pordenone,2020-02-25,Friuli Venezia Giulia,0
Sondrio,2020-02-25,Lombardia,1
Ragusa,2020-02-25,Sicilia,0
Rovigo,2020-02-25,Veneto,0
Piacenza,2020-02-26,Emilia-Romagna,28
Ravenna,2020-02-26,Emilia-Romagna,0
Gorizia,2020-02-26,Friuli Venezia Giulia,0
Trieste,2020-02-26,Friuli Venezia Giulia,0
Pordenone,2020-02-26,Friuli Venezia Giulia,0
Sondrio,2020-02-26,Lombardia,3
Ragusa,2020-02-26,Sicilia,0
Rovigo,2020-02-26,Veneto,0
Piacenza,2020-02-27,Emilia-Romagna,63
Ravenna,2020-02-27,Emilia-Romagna,0
Gorizia,2020-02-27,Friuli Venezia Giulia,0
Trieste,2020-02-27,Friuli Venezia Giulia,0
Pordenone,2020-02-27,Friuli Venezia Giulia,0
Sondrio,2020-02-27,Lombardia,3
Ragusa,2020-02-27,Sicilia,0
Rovigo,2020-02-27,Veneto,0
Piacenza,2020-02-28,Emilia-Romagna,89
Ravenna,2020-02-28,Emilia-Romagna,1
Gorizia,2020-02-28,Friuli Venezia Giulia,0
Trieste,2020-02-28,Friuli Venezia Giulia,0
Pordenone,2020-02-28,Friuli Venezia Giulia,0
Sondrio,2020-02-28,Lombardia,3
Ragusa,2020-02-28,Sicilia,0
Rovigo,2020-02-28,Veneto,0
Piacenza,2020-02-29,Emilia-Romagna,138
Ravenna,2020-02-29,Emilia-Romagna,1
Gorizia,2020-02-29,Friuli Venezia Giulia,0
Trieste,2020-02-29,Friuli Venezia Giulia,0
Pordenone,2020-02-29,Friuli Venezia Giulia,0
Sondrio,2020-02-29,Lombardia,3
Ragusa,2020-02-29,Sicilia,0
Rovigo,2020-02-29,Veneto,0
Piacenza,2020-03-01,Emilia-Romagna,174
Ravenna,2020-03-01,Emilia-Romagna,2
Gorizia,2020-03-01,Friuli Venezia Giulia,0
Trieste,2020-03-01,Friuli Venezia Giulia,6
Pordenone,2020-03-01,Friuli Venezia Giulia,0
Sondrio,2020-03-01,Lombardia,3
Ragusa,2020-03-01,Sicilia,0
Rovigo,2020-03-01,Veneto,0
Piacenza,2020-03-02,Emilia-Romagna,212
Ravenna,2020-03-02,Emilia-Romagna,2
Gorizia,2020-03-02,Friuli Venezia Giulia,0
Trieste,2020-03-02,Friuli Venezia Giulia,9
Pordenone,2020-03-02,Friuli Venezia Giulia,0
Sondrio,2020-03-02,Lombardia,3
Ragusa,2020-03-02,Sicilia,0
Rovigo,2020-03-02,Veneto,0
Piacenza,2020-03-03,Emilia-Romagna,256
Ravenna,2020-03-03,Emilia-Romagna,2
Gorizia,2020-03-03,Friuli Venezia Giulia,3
Trieste,2020-03-03,Friuli Venezia Giulia,2
Pordenone,2020-03-03,Friuli Venezia Giulia,0
Sondrio,2020-03-03,Lombardia,3
Ragusa,2020-03-03,Sicilia,0
Rovigo,2020-03-03,Veneto,1
Piacenza,2020-03-04,Emilia-Romagna,319
Ravenna,2020-03-04,Emilia-Romagna,2
Gorizia,2020-03-04,Friuli Venezia Giulia,5
Trieste,2020-03-04,Friuli Venezia Giulia,5
Pordenone,2020-03-04,Friuli Venezia Giulia,0
Sondrio,2020-03-04,Lombardia,4
Ragusa,2020-03-04,Sicilia,0
Rovigo,2020-03-04,Veneto,4
Piacenza,2020-03-05,Emilia-Romagna,378
Ravenna,2020-03-05,Emilia-Romagna,3
Gorizia,2020-03-05,Friuli Venezia Giulia,5
Trieste,2020-03-05,Friuli Venezia Giulia,5
Pordenone,2020-03-05,Friuli Venezia Giulia,0
