Regione/Ripartizione,percentuale comuni,percentuale popolazione
Piemonte,94.2,96
Valle d'Aosta,91.9,91.2
Lombardia,97.5,98.9
Trentino-Alto Adige,92.2,93.5
Veneto,91.1,92.9
Friuli-Venezia Giulia,94.9,94.7
Liguria,94,97.5
Emilia-Romagna,93.9,97.3
Toscana,90.1,96.6
Umbria,94.6,95.4
Marche,90.8,93.2
Lazio,87.3,93.4
Abruzzo,92.1,93.2
Molise,92.6,94.7
Campania,90.2,94.1
Puglia,93.8,95.5
Basilicata,93.9,85
Calabria,92.1,92.6
Sicilia,87.2,90.8
Sardegna,93.6,91.8
Nord,94.8,96.6
Centro,89.6,94.5
Mezzogiorno,91.5,93
ITALIA,93.1,95
