DATA,TOTALE
2015-01-31,1438
2015-02-28,1371
2015-03-31,1332
2015-04-30,1160
2015-05-31,1117
2015-06-30,1076
2015-07-31,1407
2015-08-31,1122
2015-09-30,1055
2015-10-31,1126
2015-11-30,1153
2015-12-31,1265
2016-01-31,1326
2016-02-29,1159
2016-03-31,1223
2016-04-30,1133
2016-05-31,1176
2016-06-30,1084
2016-07-31,1061
2016-08-31,1160
2016-09-30,977
2016-10-31,1219
2016-11-30,1171
2016-12-31,1344
2017-01-31,1848
2017-02-28,1247
2017-03-31,1260
2017-04-30,1134
2017-05-31,1139
2017-06-30,1125
2017-07-31,1150
2017-08-31,1340
2017-09-30,1006
2017-10-31,1175
2017-11-30,1222
2017-12-31,1248
2018-01-31,1551
2018-02-28,1251
2018-03-31,1307
2018-04-30,1122
2018-05-31,1052
2018-06-30,1011
2018-07-31,1071
2018-08-31,1070
2018-09-30,1038
2018-10-31,1136
2018-11-30,1146
2018-12-31,1229
2019-01-31,1418
2019-02-28,1313
2019-03-31,1268
2019-04-30,1142
2019-05-31,1081
2019-06-30,1106
2019-07-31,1169
2019-08-31,1076
2019-09-30,1007
2019-10-31,1068
2019-11-30,1094
2019-12-31,1210
2020-01-31,1390
2020-02-29,1285
2020-03-31,1483
2020-04-30,1303
2020-05-31,1060
2020-06-30,936
