DATA,TOTALE
2015-01-31,628
2015-02-28,600
2015-03-31,606
2015-04-30,549
2015-05-31,503
2015-06-30,495
2015-07-31,583
2015-08-31,526
2015-09-30,450
2015-10-31,535
2015-11-30,547
2015-12-31,540
2016-01-31,576
2016-02-29,553
2016-03-31,555
2016-04-30,579
2016-05-31,502
2016-06-30,469
2016-07-31,497
2016-08-31,491
2016-09-30,457
2016-10-31,559
2016-11-30,538
2016-12-31,580
2017-01-31,744
2017-02-28,522
2017-03-31,646
2017-04-30,522
2017-05-31,501
2017-06-30,469
2017-07-31,551
2017-08-31,595
2017-09-30,485
2017-10-31,515
2017-11-30,494
2017-12-31,543
2018-01-31,725
2018-02-28,573
2018-03-31,528
2018-04-30,509
2018-05-31,506
2018-06-30,462
2018-07-31,522
2018-08-31,477
2018-09-30,442
2018-10-31,504
2018-11-30,520
2018-12-31,581
2019-01-31,644
2019-02-28,660
2019-03-31,657
2019-04-30,504
2019-05-31,548
2019-06-30,536
2019-07-31,543
2019-08-31,497
2019-09-30,467
2019-10-31,470
2019-11-30,500
2019-12-31,584
2020-01-31,564
2020-02-29,602
2020-03-31,574
2020-04-30,586
2020-05-31,535
2020-06-30,460
2020-07-31,505
2020-08-31,517
2020-09-30,445
