DATA,TOTALE
2015-01-31,1985
2015-02-28,1844
2015-03-31,1836
2015-04-30,1707
2015-05-31,1432
2015-06-30,1398
2015-07-31,1587
2015-08-31,1465
2015-09-30,1378
2015-10-31,1511
2015-11-30,1475
2015-12-31,1697
2016-01-31,1741
2016-02-29,1630
2016-03-31,1654
2016-04-30,1590
2016-05-31,1404
2016-06-30,1460
2016-07-31,1434
2016-08-31,1368
2016-09-30,1308
2016-10-31,1449
2016-11-30,1493
2016-12-31,1794
2017-01-31,2398
2017-02-28,1632
2017-03-31,1749
2017-04-30,1536
2017-05-31,1468
2017-06-30,1416
2017-07-31,1483
2017-08-31,1728
2017-09-30,1369
2017-10-31,1494
2017-11-30,1508
2017-12-31,1842
2018-01-31,2081
2018-02-28,1628
2018-03-31,1698
2018-04-30,1478
2018-05-31,1438
2018-06-30,1299
2018-07-31,1554
2018-08-31,1461
2018-09-30,1399
2018-10-31,1404
2018-11-30,1480
2018-12-31,1681
2019-01-31,2091
2019-02-28,1842
2019-03-31,1871
2019-04-30,1551
2019-05-31,1507
2019-06-30,1537
2019-07-31,1511
2019-08-31,1437
2019-09-30,1274
2019-10-31,1361
2019-11-30,1504
2019-12-31,1566
2020-01-31,1899
2020-02-29,1638
2020-03-31,1863
2020-04-30,1653
2020-05-31,1471
2020-06-30,1353
