DATA,TOTALE
2015-01-31,5891
2015-02-28,4994
2015-03-31,4857
2015-04-30,4364
2015-05-31,4053
2015-06-30,3905
2015-07-31,4812
2015-08-31,4109
2015-09-30,3821
2015-10-31,4011
2015-11-30,4127
2015-12-31,4600
2016-01-31,4958
2016-02-29,4148
2016-03-31,4601
2016-04-30,4158
2016-05-31,4010
2016-06-30,3685
2016-07-31,3853
2016-08-31,3828
2016-09-30,3671
2016-10-31,4179
2016-11-30,4113
2016-12-31,5289
2017-01-31,6560
2017-02-28,4502
2017-03-31,4571
2017-04-30,4109
2017-05-31,4155
2017-06-30,3777
2017-07-31,4069
2017-08-31,4529
2017-09-30,3687
2017-10-31,4191
2017-11-30,4205
2017-12-31,5003
2018-01-31,5239
2018-02-28,4688
2018-03-31,4787
2018-04-30,4180
2018-05-31,4063
2018-06-30,3562
2018-07-31,3831
2018-08-31,3925
2018-09-30,3617
2018-10-31,4042
2018-11-30,4124
2018-12-31,4773
2019-01-31,5881
2019-02-28,4799
2019-03-31,4582
2019-04-30,4234
2019-05-31,4045
2019-06-30,4139
2019-07-31,4008
2019-08-31,3948
2019-09-30,3577
2019-10-31,3812
2019-11-30,3905
2019-12-31,4377
2020-01-31,5311
2020-02-29,4581
2020-03-31,4790
2020-04-30,4192
2020-05-31,3780
2020-06-30,3441
