DATA,TOTALE
2015-01-31,5321
2015-02-28,4767
2015-03-31,4829
2015-04-30,4140
2015-05-31,3945
2015-06-30,3836
2015-07-31,4490
2015-08-31,4055
2015-09-30,3798
2015-10-31,4246
2015-11-30,4067
2015-12-31,4392
2016-01-31,4632
2016-02-29,4170
2016-03-31,4333
2016-04-30,3961
2016-05-31,4144
2016-06-30,3824
2016-07-31,3937
2016-08-31,3955
2016-09-30,3597
2016-10-31,4304
2016-11-30,4064
2016-12-31,5170
2017-01-31,6113
2017-02-28,4334
2017-03-31,4376
2017-04-30,3955
2017-05-31,4049
2017-06-30,3810
2017-07-31,3920
2017-08-31,4051
2017-09-30,3748
2017-10-31,4275
2017-11-30,4140
2017-12-31,4614
2018-01-31,5208
2018-02-28,4344
2018-03-31,4672
2018-04-30,4001
2018-05-31,3866
2018-06-30,3775
2018-07-31,3868
2018-08-31,4101
2018-09-30,3773
2018-10-31,4235
2018-11-30,4015
2018-12-31,4474
2019-01-31,5005
2019-02-28,4570
2019-03-31,4701
2019-04-30,4013
2019-05-31,4135
2019-06-30,3909
2019-07-31,4066
2019-08-31,3921
2019-09-30,3805
2019-10-31,4170
2019-11-30,4105
2019-12-31,4422
2020-01-31,4693
2020-02-29,4384
2020-03-31,7761
2020-04-30,6149
2020-05-31,4171
2020-06-30,3962
2020-07-31,4104
2020-08-31,4114
2020-09-30,3923
