DATA,TOTALE
2015-01-31,1656
2015-02-28,1406
2015-03-31,1411
2015-04-30,1256
2015-05-31,1153
2015-06-30,1088
2015-07-31,1251
2015-08-31,1183
2015-09-30,1102
2015-10-31,1281
2015-11-30,1161
2015-12-31,1215
2016-01-31,1415
2016-02-29,1315
2016-03-31,1313
2016-04-30,1176
2016-05-31,1172
2016-06-30,1095
2016-07-31,1173
2016-08-31,1089
2016-09-30,1047
2016-10-31,1218
2016-11-30,1166
2016-12-31,1349
2017-01-31,1818
2017-02-28,1402
2017-03-31,1327
2017-04-30,1158
2017-05-31,1243
2017-06-30,1116
2017-07-31,1037
2017-08-31,1101
2017-09-30,1069
2017-10-31,1178
2017-11-30,1163
2017-12-31,1344
2018-01-31,1439
2018-02-28,1374
2018-03-31,1469
2018-04-30,1209
2018-05-31,1084
2018-06-30,1112
2018-07-31,1119
2018-08-31,1255
2018-09-30,1082
2018-10-31,1195
2018-11-30,1088
2018-12-31,1297
2019-01-31,1446
2019-02-28,1322
2019-03-31,1244
2019-04-30,1148
2019-05-31,1218
2019-06-30,1183
2019-07-31,1066
2019-08-31,1123
2019-09-30,1103
2019-10-31,1172
2019-11-30,1143
2019-12-31,1332
2020-01-31,1499
2020-02-29,1289
2020-03-31,1522
2020-04-30,1436
2020-05-31,1065
2020-06-30,1057
2020-07-31,1089
2020-08-31,1176
2020-09-30,1049
