DATA,TOTALE
2015-01-31,6295
2015-02-28,5439
2015-03-31,5436
2015-04-30,4861
2015-05-31,4501
2015-06-30,4417
2015-07-31,5352
2015-08-31,4693
2015-09-30,4311
2015-10-31,4569
2015-11-30,4654
2015-12-31,5046
2016-01-31,5371
2016-02-29,4663
2016-03-31,5202
2016-04-30,4784
2016-05-31,4544
2016-06-30,4293
2016-07-31,4562
2016-08-31,4747
2016-09-30,4067
2016-10-31,4822
2016-11-30,4745
2016-12-31,5822
2017-01-31,7524
2017-02-28,5076
2017-03-31,4983
2017-04-30,4768
2017-05-31,4795
2017-06-30,4527
2017-07-31,4554
2017-08-31,5187
2017-09-30,4300
2017-10-31,4870
2017-11-30,4890
2017-12-31,5407
2018-01-31,6057
2018-02-28,4974
2018-03-31,5368
2018-04-30,4669
2018-05-31,4515
2018-06-30,4297
2018-07-31,4662
2018-08-31,4559
2018-09-30,4242
2018-10-31,4697
2018-11-30,4661
2018-12-31,5425
2019-01-31,6244
2019-02-28,5458
2019-03-31,5238
2019-04-30,4781
2019-05-31,4804
2019-06-30,4803
2019-07-31,4685
2019-08-31,4461
2019-09-30,4138
2019-10-31,4471
2019-11-30,4442
2019-12-31,4910
2020-01-31,5627
2020-02-29,4877
2020-03-31,5419
2020-04-30,4981
2020-05-31,4497
2020-06-30,4286
2020-07-31,4730
2020-08-31,4797
2020-09-30,4409
