DATA,TOTALE
2015-01-31,2296
2015-02-28,2176
2015-03-31,2090
2015-04-30,1810
2015-05-31,1791
2015-06-30,1732
2015-07-31,1978
2015-08-31,1810
2015-09-30,1603
2015-10-31,1865
2015-11-30,1704
2015-12-31,1859
2016-01-31,1964
2016-02-29,1796
2016-03-31,1899
2016-04-30,1700
2016-05-31,1660
2016-06-30,1673
2016-07-31,1665
2016-08-31,1694
2016-09-30,1630
2016-10-31,1835
2016-11-30,1756
2016-12-31,2013
2017-01-31,2677
2017-02-28,1880
2017-03-31,1870
2017-04-30,1813
2017-05-31,1904
2017-06-30,1664
2017-07-31,1634
2017-08-31,1743
2017-09-30,1626
2017-10-31,1756
2017-11-30,1826
2017-12-31,2160
2018-01-31,2456
2018-02-28,1942
2018-03-31,2069
2018-04-30,1723
2018-05-31,1702
2018-06-30,1654
2018-07-31,1753
2018-08-31,2052
2018-09-30,1651
2018-10-31,1725
2018-11-30,1715
2018-12-31,1941
2019-01-31,2112
2019-02-28,1962
2019-03-31,1922
2019-04-30,1753
2019-05-31,1648
2019-06-30,1811
2019-07-31,1722
2019-08-31,1685
2019-09-30,1551
2019-10-31,1794
2019-11-30,1789
2019-12-31,1857
2020-01-31,1900
2020-02-29,1762
2020-03-31,3038
2020-04-30,2862
2020-05-31,1844
2020-06-30,1654
2020-07-31,1666
2020-08-31,1778
2020-09-30,1783
