DATA,TOTALE
2015-01-31,10421
2015-02-28,9218
2015-03-31,8896
2015-04-30,7961
2015-05-31,7463
2015-06-30,7327
2015-07-31,9302
2015-08-31,7706
2015-09-30,7105
2015-10-31,7969
2015-11-30,7463
2015-12-31,8249
2016-01-31,8904
2016-02-29,8034
2016-03-31,8349
2016-04-30,7661
2016-05-31,7702
2016-06-30,7208
2016-07-31,7531
2016-08-31,7276
2016-09-30,7080
2016-10-31,8099
2016-11-30,7916
2016-12-31,9443
2017-01-31,12028
2017-02-28,8516
2017-03-31,8335
2017-04-30,7673
2017-05-31,8116
2017-06-30,7286
2017-07-31,7250
2017-08-31,7663
2017-09-30,7297
2017-10-31,8123
2017-11-30,8062
2017-12-31,9175
2018-01-31,10815
2018-02-28,8431
2018-03-31,8838
2018-04-30,7951
2018-05-31,7570
2018-06-30,7292
2018-07-31,7587
2018-08-31,8096
2018-09-30,7507
2018-10-31,8158
2018-11-30,8156
2018-12-31,8919
2019-01-31,10070
2019-02-28,9384
2019-03-31,8881
2019-04-30,7859
2019-05-31,7861
2019-06-30,8057
2019-07-31,8003
2019-08-31,7645
2019-09-30,7253
2019-10-31,8147
2019-11-30,8121
2019-12-31,8748
2020-01-31,9275
2020-02-29,8781
2020-03-31,25227
2020-04-30,16690
2020-05-31,8558
2020-06-30,7293
