DATA,TOTALE
2015-01-31,1808
2015-02-28,1681
2015-03-31,1721
2015-04-30,1484
2015-05-31,1475
2015-06-30,1423
2015-07-31,1827
2015-08-31,1302
2015-09-30,1312
2015-10-31,1369
2015-11-30,1425
2015-12-31,1531
2016-01-31,1638
2016-02-29,1446
2016-03-31,1604
2016-04-30,1292
2016-05-31,1426
2016-06-30,1336
2016-07-31,1502
2016-08-31,1374
2016-09-30,1229
2016-10-31,1421
2016-11-30,1531
2016-12-31,1748
2017-01-31,2188
2017-02-28,1494
2017-03-31,1595
2017-04-30,1383
2017-05-31,1443
2017-06-30,1429
2017-07-31,1459
2017-08-31,1759
2017-09-30,1310
2017-10-31,1413
2017-11-30,1463
2017-12-31,1584
2018-01-31,1785
2018-02-28,1491
2018-03-31,1578
2018-04-30,1435
2018-05-31,1376
2018-06-30,1218
2018-07-31,1399
2018-08-31,1388
2018-09-30,1303
2018-10-31,1335
2018-11-30,1454
2018-12-31,1540
2019-01-31,1670
2019-02-28,1644
2019-03-31,1602
2019-04-30,1474
2019-05-31,1409
2019-06-30,1351
2019-07-31,1514
2019-08-31,1436
2019-09-30,1320
2019-10-31,1370
2019-11-30,1347
2019-12-31,1453
2020-01-31,1641
2020-02-29,1503
2020-03-31,2332
2020-04-30,1919
2020-05-31,1419
2020-06-30,1409
2020-07-31,1541
2020-08-31,1551
2020-09-30,1290
