DATA,TOTALE
2015-01-31,409
2015-02-28,328
2015-03-31,359
2015-04-30,317
2015-05-31,292
2015-06-30,272
2015-07-31,344
2015-08-31,280
2015-09-30,271
2015-10-31,318
2015-11-30,301
2015-12-31,319
2016-01-31,339
2016-02-29,292
2016-03-31,316
2016-04-30,308
2016-05-31,275
2016-06-30,259
2016-07-31,289
2016-08-31,256
2016-09-30,265
2016-10-31,264
2016-11-30,323
2016-12-31,327
2017-01-31,485
2017-02-28,290
2017-03-31,319
2017-04-30,285
2017-05-31,278
2017-06-30,270
2017-07-31,302
2017-08-31,385
2017-09-30,252
2017-10-31,276
2017-11-30,287
2017-12-31,354
2018-01-31,366
2018-02-28,335
2018-03-31,337
2018-04-30,310
2018-05-31,297
2018-06-30,253
2018-07-31,271
2018-08-31,264
2018-09-30,247
2018-10-31,268
2018-11-30,290
2018-12-31,296
2019-01-31,413
2019-02-28,309
2019-03-31,337
2019-04-30,267
2019-05-31,257
2019-06-30,280
2019-07-31,295
2019-08-31,311
2019-09-30,260
2019-10-31,274
2019-11-30,275
2019-12-31,278
2020-01-31,333
2020-02-29,286
2020-03-31,352
2020-04-30,295
2020-05-31,283
2020-06-30,278
