DATA,TOTALE
2015-01-31,5634
2015-02-28,5207
2015-03-31,4822
2015-04-30,4377
2015-05-31,4219
2015-06-30,4109
2015-07-31,5092
2015-08-31,4151
2015-09-30,3902
2015-10-31,4384
2015-11-30,4069
2015-12-31,4591
2016-01-31,4818
2016-02-29,4286
2016-03-31,4808
2016-04-30,4122
2016-05-31,4148
2016-06-30,3936
2016-07-31,4239
2016-08-31,3942
2016-09-30,3722
2016-10-31,4461
2016-11-30,4188
2016-12-31,5164
2017-01-31,6239
2017-02-28,4686
2017-03-31,4536
2017-04-30,4081
2017-05-31,4401
2017-06-30,4138
2017-07-31,4074
2017-08-31,4350
2017-09-30,3886
2017-10-31,4327
2017-11-30,4459
2017-12-31,5335
2018-01-31,6375
2018-02-28,4545
2018-03-31,4877
2018-04-30,4191
2018-05-31,4063
2018-06-30,3994
2018-07-31,4165
2018-08-31,4512
2018-09-30,3991
2018-10-31,4396
2018-11-30,4250
2018-12-31,4773
2019-01-31,5260
2019-02-28,5160
2019-03-31,4655
2019-04-30,4235
2019-05-31,4235
2019-06-30,4363
2019-07-31,4638
2019-08-31,4016
2019-09-30,3811
2019-10-31,4432
2019-11-30,4385
2019-12-31,4517
2020-01-31,4747
2020-02-29,4550
2020-03-31,7261
2020-04-30,7435
2020-05-31,4640
2020-06-30,3982
2020-07-31,4175
2020-08-31,4318
2020-09-30,3883
