DATA,TOTALE
2015-01-31,4100
2015-02-28,3432
2015-03-31,3512
2015-04-30,3189
2015-05-31,3018
2015-06-30,2712
2015-07-31,3644
2015-08-31,3174
2015-09-30,2825
2015-10-31,2869
2015-11-30,2990
2015-12-31,3289
2016-01-31,3504
2016-02-29,3210
2016-03-31,3236
2016-04-30,3008
2016-05-31,2858
2016-06-30,2730
2016-07-31,3017
2016-08-31,2859
2016-09-30,2634
2016-10-31,2934
2016-11-30,3052
2016-12-31,3687
2017-01-31,4681
2017-02-28,3196
2017-03-31,3352
2017-04-30,2997
2017-05-31,3029
2017-06-30,3042
2017-07-31,3125
2017-08-31,3525
2017-09-30,2740
2017-10-31,2957
2017-11-30,3065
2017-12-31,3575
2018-01-31,4038
2018-02-28,3266
2018-03-31,3468
2018-04-30,3076
2018-05-31,2927
2018-06-30,2769
2018-07-31,2954
2018-08-31,3020
2018-09-30,2815
2018-10-31,2971
2018-11-30,3083
2018-12-31,3380
2019-01-31,4023
2019-02-28,3619
2019-03-31,3614
2019-04-30,3130
2019-05-31,2991
2019-06-30,3113
2019-07-31,3007
2019-08-31,2950
2019-09-30,2771
2019-10-31,2823
2019-11-30,2954
2019-12-31,3218
2020-01-31,3803
2020-02-29,3337
2020-03-31,3855
2020-04-30,3526
2020-05-31,2976
2020-06-30,2920
