DATA,TOTALE
2015-01-31,1681
2015-02-28,1668
2015-03-31,1575
2015-04-30,1387
2015-05-31,1324
2015-06-30,1231
2015-07-31,1362
2015-08-31,1331
2015-09-30,1138
2015-10-31,1287
2015-11-30,1259
2015-12-31,1518
2016-01-31,1528
2016-02-29,1433
2016-03-31,1506
2016-04-30,1352
2016-05-31,1337
2016-06-30,1211
2016-07-31,1243
2016-08-31,1270
2016-09-30,1237
2016-10-31,1380
2016-11-30,1304
2016-12-31,1538
2017-01-31,1930
2017-02-28,1445
2017-03-31,1389
2017-04-30,1338
2017-05-31,1388
2017-06-30,1281
2017-07-31,1346
2017-08-31,1515
2017-09-30,1159
2017-10-31,1314
2017-11-30,1388
2017-12-31,1597
2018-01-31,1733
2018-02-28,1569
2018-03-31,1621
2018-04-30,1372
2018-05-31,1259
2018-06-30,1231
2018-07-31,1353
2018-08-31,1246
2018-09-30,1201
2018-10-31,1254
2018-11-30,1337
2018-12-31,1607
2019-01-31,1799
2019-02-28,1473
2019-03-31,1615
2019-04-30,1472
2019-05-31,1428
2019-06-30,1385
2019-07-31,1309
2019-08-31,1382
2019-09-30,1243
2019-10-31,1275
2019-11-30,1379
2019-12-31,1446
2020-01-31,1662
2020-02-29,1496
2020-03-31,1722
2020-04-30,1541
2020-05-31,1331
2020-06-30,1237
2020-07-31,1398
2020-08-31,1452
2020-09-30,1319
