DATA,TOTALE
2015-01-31,4961
2015-02-28,4726
2015-03-31,4846
2015-04-30,4160
2015-05-31,3915
2015-06-30,3568
2015-07-31,4056
2015-08-31,4004
2015-09-30,3543
2015-10-31,3596
2015-11-30,3671
2015-12-31,4287
2016-01-31,4676
2016-02-29,4252
2016-03-31,4541
2016-04-30,3868
2016-05-31,3659
2016-06-30,3496
2016-07-31,3694
2016-08-31,3580
2016-09-30,3229
2016-10-31,3507
2016-11-30,3718
2016-12-31,4209
2017-01-31,5808
2017-02-28,4581
2017-03-31,4606
2017-04-30,3887
2017-05-31,3872
2017-06-30,3723
2017-07-31,3907
2017-08-31,4454
2017-09-30,3389
2017-10-31,3643
2017-11-30,3978
2017-12-31,4766
2018-01-31,5251
2018-02-28,4519
2018-03-31,4649
2018-04-30,3976
2018-05-31,3662
2018-06-30,3458
2018-07-31,3771
2018-08-31,3672
2018-09-30,3427
2018-10-31,3667
2018-11-30,3800
2018-12-31,4307
2019-01-31,5466
2019-02-28,4667
2019-03-31,4582
2019-04-30,4113
2019-05-31,3831
2019-06-30,3797
2019-07-31,3846
2019-08-31,3735
2019-09-30,3333
2019-10-31,3488
2019-11-30,3727
2019-12-31,4077
2020-01-31,4872
2020-02-29,4230
2020-03-31,4765
2020-04-30,4057
2020-05-31,3647
2020-06-30,3256
