DATA,TOTALE
2015-01-31,4539
2015-02-28,4091
2015-03-31,4027
2015-04-30,3625
2015-05-31,3518
2015-06-30,3297
2015-07-31,3912
2015-08-31,3442
2015-09-30,3141
2015-10-31,3538
2015-11-30,3317
2015-12-31,3636
2016-01-31,3923
2016-02-29,3384
2016-03-31,3660
2016-04-30,3366
2016-05-31,3368
2016-06-30,3104
2016-07-31,3388
2016-08-31,3139
2016-09-30,2999
2016-10-31,3568
2016-11-30,3544
2016-12-31,4171
2017-01-31,5222
2017-02-28,3695
2017-03-31,3720
2017-04-30,3337
2017-05-31,3445
2017-06-30,3158
2017-07-31,3160
2017-08-31,3628
2017-09-30,3099
2017-10-31,3500
2017-11-30,3498
2017-12-31,3954
2018-01-31,4262
2018-02-28,3700
2018-03-31,3939
2018-04-30,3276
2018-05-31,3271
2018-06-30,3044
2018-07-31,3272
2018-08-31,3605
2018-09-30,3061
2018-10-31,3408
2018-11-30,3343
2018-12-31,3832
2019-01-31,4235
2019-02-28,3854
2019-03-31,3877
2019-04-30,3457
2019-05-31,3351
2019-06-30,3393
2019-07-31,3491
2019-08-31,3263
2019-09-30,3135
2019-10-31,3326
2019-11-30,3498
2019-12-31,3609
2020-01-31,3973
2020-02-29,3577
2020-03-31,4387
2020-04-30,4028
2020-05-31,3183
2020-06-30,3075
