DATA,TOTALE
2015-01-31,943
2015-02-28,845
2015-03-31,873
2015-04-30,739
2015-05-31,718
2015-06-30,641
2015-07-31,714
2015-08-31,637
2015-09-30,640
2015-10-31,769
2015-11-30,690
2015-12-31,745
2016-01-31,776
2016-02-29,776
2016-03-31,786
2016-04-30,709
2016-05-31,676
2016-06-30,644
2016-07-31,690
2016-08-31,683
2016-09-30,665
2016-10-31,703
2016-11-30,734
2016-12-31,837
2017-01-31,1111
2017-02-28,766
2017-03-31,733
2017-04-30,689
2017-05-31,704
2017-06-30,655
2017-07-31,680
2017-08-31,676
2017-09-30,671
2017-10-31,762
2017-11-30,703
2017-12-31,851
2018-01-31,944
2018-02-28,747
2018-03-31,829
2018-04-30,735
2018-05-31,668
2018-06-30,704
2018-07-31,661
2018-08-31,701
2018-09-30,648
2018-10-31,729
2018-11-30,749
2018-12-31,832
2019-01-31,855
2019-02-28,809
2019-03-31,812
2019-04-30,752
2019-05-31,740
2019-06-30,710
2019-07-31,670
2019-08-31,680
2019-09-30,703
2019-10-31,759
2019-11-30,729
2019-12-31,801
2020-01-31,848
2020-02-29,854
2020-03-31,1370
2020-04-30,1245
2020-05-31,754
2020-06-30,675
