DATA,TOTALE
2015-01-31,1102
2015-02-28,978
2015-03-31,986
2015-04-30,890
2015-05-31,823
2015-06-30,724
2015-07-31,1001
2015-08-31,748
2015-09-30,747
2015-10-31,792
2015-11-30,797
2015-12-31,838
2016-01-31,950
2016-02-29,812
2016-03-31,859
2016-04-30,831
2016-05-31,782
2016-06-30,714
2016-07-31,798
2016-08-31,735
2016-09-30,724
2016-10-31,843
2016-11-30,813
2016-12-31,1055
2017-01-31,1183
2017-02-28,822
2017-03-31,903
2017-04-30,801
2017-05-31,847
2017-06-30,792
2017-07-31,785
2017-08-31,947
2017-09-30,702
2017-10-31,832
2017-11-30,834
2017-12-31,885
2018-01-31,1024
2018-02-28,819
2018-03-31,894
2018-04-30,766
2018-05-31,754
2018-06-30,706
2018-07-31,754
2018-08-31,757
2018-09-30,714
2018-10-31,807
2018-11-30,775
2018-12-31,937
2019-01-31,1026
2019-02-28,902
2019-03-31,947
2019-04-30,804
2019-05-31,781
2019-06-30,817
2019-07-31,829
2019-08-31,750
2019-09-30,719
2019-10-31,752
2019-11-30,747
2019-12-31,830
2020-01-31,938
2020-02-29,836
2020-03-31,1004
2020-04-30,814
2020-05-31,748
2020-06-30,717
