DATA,TOTALE
2015-01-31,155
2015-02-28,142
2015-03-31,138
2015-04-30,146
2015-05-31,132
2015-06-30,123
2015-07-31,154
2015-08-31,104
2015-09-30,111
2015-10-31,121
2015-11-30,98
2015-12-31,132
2016-01-31,125
2016-02-29,121
2016-03-31,126
2016-04-30,122
2016-05-31,125
2016-06-30,99
2016-07-31,132
2016-08-31,116
2016-09-30,101
2016-10-31,123
2016-11-30,109
2016-12-31,131
2017-01-31,180
2017-02-28,126
2017-03-31,121
2017-04-30,110
2017-05-31,124
2017-06-30,117
2017-07-31,115
2017-08-31,107
2017-09-30,113
2017-10-31,128
2017-11-30,117
2017-12-31,136
2018-01-31,165
2018-02-28,135
2018-03-31,139
2018-04-30,111
2018-05-31,122
2018-06-30,110
2018-07-31,124
2018-08-31,115
2018-09-30,101
2018-10-31,129
2018-11-30,125
2018-12-31,118
2019-01-31,156
2019-02-28,125
2019-03-31,147
2019-04-30,107
2019-05-31,103
2019-06-30,107
2019-07-31,119
2019-08-31,93
2019-09-30,106
2019-10-31,123
2019-11-30,120
2019-12-31,126
2020-01-31,125
2020-02-29,130
2020-03-31,205
2020-04-30,203
2020-05-31,120
2020-06-30,110
2020-07-31,108
2020-08-31,130
2020-09-30,103
