DATA,TOTALE
2015-01-31,5009
2015-02-28,4121
2015-03-31,4225
2015-04-30,3806
2015-05-31,3660
2015-06-30,3363
2015-07-31,3872
2015-08-31,3659
2015-09-30,3385
2015-10-31,3769
2015-11-30,3721
2015-12-31,4090
2016-01-31,4277
2016-02-29,4052
2016-03-31,4091
2016-04-30,3572
2016-05-31,3748
2016-06-30,3479
2016-07-31,3440
2016-08-31,3547
2016-09-30,3320
2016-10-31,3669
2016-11-30,3695
2016-12-31,4206
2017-01-31,5285
2017-02-28,4132
2017-03-31,4115
2017-04-30,3705
2017-05-31,3687
2017-06-30,3420
2017-07-31,3391
2017-08-31,3574
2017-09-30,3308
2017-10-31,3926
2017-11-30,3852
2017-12-31,4140
2018-01-31,4604
2018-02-28,4061
2018-03-31,4232
2018-04-30,3758
2018-05-31,3613
2018-06-30,3370
2018-07-31,3419
2018-08-31,3812
2018-09-30,3507
2018-10-31,3912
2018-11-30,3834
2018-12-31,4121
2019-01-31,4551
2019-02-28,4331
2019-03-31,3986
2019-04-30,3651
2019-05-31,3638
2019-06-30,3649
2019-07-31,3558
2019-08-31,3525
2019-09-30,3502
2019-10-31,3824
2019-11-30,3826
2019-12-31,4070
2020-01-31,4533
2020-02-29,4060
2020-03-31,5169
2020-04-30,4824
2020-05-31,3800
2020-06-30,3470
