TIME,GEO,Value
2015-01-05,France,12986
2015-01-12,France,13364
2015-01-19,France,13006
2015-01-26,France,12830
2015-02-02,France,13497
2015-02-09,France,14185
2015-02-16,France,14913
2015-02-23,France,14550
2015-03-02,France,13820
2015-03-09,France,13153
2015-03-16,France,12511
2015-03-23,France,12114
2015-03-30,France,11905
2015-04-06,France,11361
2015-04-13,France,11453
2015-04-20,France,11094
2015-04-27,France,10986
2015-05-04,France,10798
2015-05-11,France,10702
2015-05-18,France,10331
2015-05-25,France,10222
2015-06-01,France,10339
2015-06-08,France,10643
2015-06-15,France,10385
2015-06-22,France,10095
2015-06-29,France,10409
2015-07-06,France,11412
2015-07-13,France,10548
2015-07-20,France,10410
2015-07-27,France,10163
2015-08-03,France,9947
2015-08-10,France,10725
2015-08-17,France,10176
2015-08-24,France,10091
2015-08-31,France,10306
2015-09-07,France,10069
2015-09-14,France,10400
2015-09-21,France,10538
2015-09-28,France,10649
2015-10-05,France,10995
2015-10-12,France,11328
2015-10-19,France,11108
2015-10-26,France,11507
2015-11-02,France,11336
2015-11-09,France,10974
2015-11-16,France,10608
2015-11-23,France,10692
2015-11-30,France,11159
2015-12-07,France,11342
2015-12-14,France,11411
2015-12-21,France,11426
2015-12-28,France,11321
2016-01-04,France,12017
2016-01-04,France,12183
2016-01-11,France,12247
2016-01-18,France,12403
2016-01-25,France,12065
2016-02-01,France,11963
2016-02-08,France,12059
2016-02-15,France,11846
2016-02-22,France,11753
2016-02-29,France,12252
2016-03-07,France,12158
2016-03-14,France,12309
2016-03-21,France,12111
2016-03-28,France,12212
2016-04-04,France,11826
2016-04-11,France,11456
2016-04-18,France,10923
2016-04-25,France,10963
2016-05-02,France,11097
2016-05-09,France,10931
2016-05-16,France,10769
2016-05-23,France,10720
2016-05-30,France,10266
2016-06-06,France,10553
2016-06-13,France,10154
2016-06-20,France,10650
2016-06-27,France,10310
2016-07-04,France,10712
2016-07-11,France,10399
2016-07-18,France,11162
2016-07-25,France,10116
2016-08-01,France,10061
2016-08-08,France,10030
2016-08-15,France,10451
2016-08-22,France,10760
2016-08-29,France,10313
2016-09-05,France,10421
2016-09-12,France,10442
2016-09-19,France,10499
2016-09-26,France,10733
2016-10-03,France,10906
2016-10-10,France,11495
2016-10-17,France,11607
2016-10-24,France,11594
2016-10-31,France,11389
2016-11-07,France,11592
2016-11-14,France,11919
2016-11-21,France,11632
2016-11-28,France,11636
2016-12-05,France,12147
2016-12-12,France,12508
2016-12-19,France,13474
2016-12-26,France,14659
2017-01-02,France,15777
2017-01-09,France,15953
2017-01-16,France,14956
2017-01-23,France,15033
2017-01-30,France,14514
2017-02-06,France,13650
2017-02-13,France,12848
2017-02-20,France,12231
2017-02-27,France,11960
2017-03-06,France,11699
2017-03-13,France,11254
2017-03-20,France,10996
2017-03-27,France,11009
2017-04-03,France,10880
2017-04-10,France,10872
2017-04-17,France,10916
2017-04-24,France,11242
2017-05-01,France,11096
2017-05-08,France,10941
2017-05-15,France,10865
2017-05-22,France,10846
2017-05-29,France,10375
2017-06-05,France,10086
2017-06-12,France,10334
2017-06-19,France,11076
2017-06-26,France,9926
2017-07-03,France,10821
2017-07-10,France,10334
2017-07-17,France,10529
2017-07-24,France,10410
2017-07-31,France,10672
2017-08-07,France,10133
2017-08-14,France,10326
2017-08-21,France,10644
2017-08-28,France,10558
2017-09-04,France,10021
2017-09-11,France,10611
2017-09-18,France,11341
2017-09-25,France,11476
2017-10-02,France,11220
2017-10-09,France,11350
2017-10-16,France,11080
2017-10-23,France,11201
2017-10-30,France,11247
2017-11-06,France,11535
2017-11-13,France,11653
2017-11-20,France,11840
2017-11-27,France,12013
2017-12-04,France,12278
2017-12-11,France,12832
2017-12-18,France,12936
2017-12-25,France,13709
2018-01-01,France,14389
2018-01-08,France,13866
2018-01-15,France,13429
2018-01-22,France,12695
2018-01-29,France,12409
2018-02-05,France,12950
2018-02-12,France,12894
2018-02-19,France,13383
2018-02-26,France,14473
2018-03-05,France,14595
2018-03-12,France,13387
2018-03-19,France,12932
2018-03-26,France,12718
2018-04-02,France,12263
2018-04-09,France,11930
2018-04-16,France,11822
2018-04-23,France,11061
2018-04-30,France,10915
2018-05-07,France,10577
2018-05-14,France,10678
2018-05-21,France,11024
2018-05-28,France,10738
2018-06-04,France,10372
2018-06-11,France,10246
2018-06-18,France,10454
2018-06-25,France,11136
2018-07-02,France,11011
2018-07-09,France,10513
2018-07-16,France,10738
2018-07-23,France,11196
2018-07-30,France,11002
2018-08-06,France,10994
2018-08-13,France,10163
2018-08-20,France,10618
2018-08-27,France,10363
2018-09-03,France,10754
2018-09-10,France,10785
2018-09-17,France,10772
2018-09-24,France,10689
2018-10-01,France,11310
2018-10-08,France,11391
2018-10-15,France,11012
2018-10-22,France,11258
2018-10-29,France,11436
2018-11-05,France,11712
2018-11-12,France,11474
2018-11-19,France,11706
2018-11-26,France,11811
2018-12-03,France,11567
2018-12-10,France,11733
2018-12-17,France,12260
2018-12-24,France,12182
2019-01-07,France,13084
2019-01-14,France,13610
2019-01-21,France,13497
2019-01-28,France,13929
2019-02-04,France,14199
2019-02-11,France,14313
2019-02-18,France,13843
2019-02-25,France,13735
2019-03-04,France,13363
2019-03-11,France,12709
2019-03-18,France,11976
2019-03-25,France,11813
2019-04-01,France,11580
2019-04-08,France,11725
2019-04-15,France,11254
2019-04-22,France,11547
2019-04-29,France,11499
2019-05-06,France,11095
2019-05-13,France,11268
2019-05-20,France,11195
2019-05-27,France,11053
2019-06-03,France,10699
2019-06-10,France,10594
2019-06-17,France,10572
2019-06-24,France,10757
2019-07-01,France,11403
2019-07-08,France,11000
2019-07-15,France,10556
2019-07-22,France,10605
2019-07-29,France,11624
2019-08-05,France,10371
2019-08-12,France,10592
2019-08-19,France,10236
2019-08-26,France,10607
2019-09-02,France,11072
2019-09-09,France,10363
2019-09-16,France,10796
2019-09-23,France,11143
2019-09-30,France,10779
2019-10-07,France,11191
2019-10-14,France,11361
2019-10-21,France,11418
2019-10-28,France,11451
2019-11-04,France,11648
2019-11-11,France,11818
2019-11-18,France,11992
2019-11-25,France,12372
2019-12-02,France,12253
2019-12-09,France,12187
2019-12-16,France,12462
2019-12-23,France,12621
2019-12-30,France,12437
2020-01-06,France,12971
2020-01-13,France,13429
2020-01-20,France,12829
2020-01-27,France,12580
2020-02-03,France,12775
2020-02-10,France,12655
2020-02-17,France,12505
2020-02-24,France,12093
2020-03-02,France,12277
2020-03-09,France,12403
2020-03-16,France,12803
2020-03-23,France,14198
2020-03-30,France,16430
2020-04-06,France,19042
2020-04-13,France,17774
2020-04-20,France,15649
2020-04-27,France,13038
2020-05-04,France,11523
2020-05-11,France,11302
2020-05-18,France,10998
2020-05-25,France,11365
2020-06-01,France,10687
2020-06-08,France,10635
2020-06-15,France,10642
2020-06-22,France,10697
2020-06-29,France,11366
2020-07-06,France,10269
2020-07-13,France,10580
2020-07-20,France,10380
2020-07-27,France,10805
2020-08-03,France,11126
2020-08-10,France,10998
2020-08-17,France,12060
2020-08-24,France,10746
2020-08-31,France,10785
2020-09-07,France,10883
2020-09-14,France,11470
2020-09-21,France,12088
2020-09-28,France,11114
