TIME,GEO,Value
2016-01-11,Germany,18439
2016-01-18,Germany,18627
2016-01-25,Germany,18707
2016-02-01,Germany,18493
2016-02-08,Germany,18541
2016-02-15,Germany,18483
2016-02-22,Germany,18475
2016-02-29,Germany,18926
2016-03-07,Germany,18888
2016-03-14,Germany,18971
2016-03-21,Germany,18826
2016-03-28,Germany,18617
2016-04-04,Germany,18244
2016-04-11,Germany,17712
2016-04-18,Germany,16775
2016-04-25,Germany,17053
2016-05-02,Germany,16901
2016-05-09,Germany,17629
2016-05-16,Germany,16601
2016-05-23,Germany,16286
2016-05-30,Germany,16346
2016-06-06,Germany,15799
2016-06-13,Germany,15717
2016-06-20,Germany,16910
2016-06-27,Germany,15699
2016-07-04,Germany,16229
2016-07-11,Germany,16172
2016-07-18,Germany,16985
2016-07-25,Germany,16157
2016-08-01,Germany,15439
2016-08-08,Germany,15487
2016-08-15,Germany,16258
2016-08-22,Germany,17147
2016-08-29,Germany,16101
2016-09-05,Germany,16116
2016-09-12,Germany,16372
2016-09-19,Germany,15606
2016-09-26,Germany,16336
2016-10-03,Germany,16352
2016-10-10,Germany,17427
2016-10-17,Germany,17599
2016-10-24,Germany,17586
2016-10-31,Germany,17580
2016-11-07,Germany,17782
2016-11-14,Germany,18591
2016-11-21,Germany,17911
2016-11-28,Germany,18146
2016-12-05,Germany,18793
2016-12-12,Germany,18885
2016-12-19,Germany,19376
2016-12-26,Germany,19744
2017-01-02,Germany,20918
2017-01-09,Germany,22070
2017-01-16,Germany,21236
2017-01-23,Germany,22083
2017-01-30,Germany,23640
2017-02-06,Germany,22744
2017-02-13,Germany,22683
2017-02-20,Germany,22266
2017-02-27,Germany,20930
2017-03-06,Germany,19102
2017-03-13,Germany,18665
2017-03-20,Germany,17640
2017-03-27,Germany,17731
2017-04-03,Germany,17028
2017-04-10,Germany,16901
2017-04-17,Germany,16637
2017-04-24,Germany,17634
2017-05-01,Germany,17129
2017-05-08,Germany,17343
2017-05-15,Germany,17079
2017-05-22,Germany,16451
2017-05-29,Germany,16902
2017-06-05,Germany,15846
2017-06-12,Germany,16087
2017-06-19,Germany,16819
2017-06-26,Germany,16076
2017-07-03,Germany,16424
2017-07-10,Germany,15603
2017-07-17,Germany,16589
2017-07-24,Germany,16058
2017-07-31,Germany,16494
2017-08-07,Germany,15784
2017-08-14,Germany,16148
2017-08-21,Germany,15880
2017-08-28,Germany,16064
2017-09-04,Germany,15706
2017-09-11,Germany,16146
2017-09-18,Germany,16505
2017-09-25,Germany,16747
2017-10-02,Germany,16664
2017-10-09,Germany,17470
2017-10-16,Germany,17139
2017-10-23,Germany,17059
2017-10-30,Germany,16762
2017-11-06,Germany,17371
2017-11-13,Germany,17594
2017-11-20,Germany,17676
2017-11-27,Germany,17877
2017-12-04,Germany,18295
2017-12-11,Germany,18504
2017-12-18,Germany,18500
2017-12-25,Germany,18652
2018-01-01,Germany,19342
2018-01-08,Germany,18770
2018-01-15,Germany,19187
2018-01-22,Germany,19171
2018-01-29,Germany,19558
2018-02-05,Germany,20086
2018-02-12,Germany,21254
