TIME,GEO,Value
2015-01-05,Portugal,2813
2015-01-12,Portugal,3054
2015-01-19,Portugal,3167
2015-01-26,Portugal,3088
2015-02-02,Portugal,2909
2015-02-09,Portugal,2869
2015-02-16,Portugal,2977
2015-02-23,Portugal,2684
2015-03-02,Portugal,2699
2015-03-09,Portugal,2447
2015-03-16,Portugal,2314
2015-03-23,Portugal,2284
2015-03-30,Portugal,2083
2015-04-06,Portugal,2179
2015-04-13,Portugal,1933
2015-04-20,Portugal,1937
2015-04-27,Portugal,1816
2015-05-04,Portugal,1819
2015-05-11,Portugal,1941
2015-05-18,Portugal,1911
2015-05-25,Portugal,1791
2015-06-01,Portugal,1950
2015-06-08,Portugal,1847
2015-06-15,Portugal,1799
2015-06-22,Portugal,1845
2015-06-29,Portugal,1727
2015-07-06,Portugal,1697
2015-07-13,Portugal,1805
2015-07-20,Portugal,1790
2015-07-27,Portugal,1751
2015-08-03,Portugal,1792
2015-08-10,Portugal,1811
2015-08-17,Portugal,1738
2015-08-24,Portugal,1787
2015-08-31,Portugal,1722
2015-09-07,Portugal,1803
2015-09-14,Portugal,1821
2015-09-21,Portugal,1699
2015-09-28,Portugal,1856
2015-10-05,Portugal,1914
2015-10-12,Portugal,1792
2015-10-19,Portugal,1809
2015-10-26,Portugal,1882
2015-11-02,Portugal,1883
2015-11-09,Portugal,1970
2015-11-16,Portugal,1854
2015-11-23,Portugal,1912
2015-11-30,Portugal,2040
2015-12-07,Portugal,2088
2015-12-14,Portugal,2002
2015-12-21,Portugal,2131
2015-12-28,Portugal,2102
2016-01-04,Portugal,2331
2016-01-04,Portugal,2321
2016-01-11,Portugal,2332
2016-01-18,Portugal,2456
2016-01-25,Portugal,2332
2016-02-01,Portugal,2271
2016-02-08,Portugal,2351
2016-02-15,Portugal,2345
2016-02-22,Portugal,2296
2016-02-29,Portugal,2391
2016-03-07,Portugal,2380
2016-03-14,Portugal,2288
2016-03-21,Portugal,2271
2016-03-28,Portugal,2214
2016-04-04,Portugal,2225
2016-04-11,Portugal,2166
2016-04-18,Portugal,1989
2016-04-25,Portugal,2025
