TIME,GEO,Value
2015-01-05,Romania,5803
2015-01-12,Romania,5848
2015-01-19,Romania,5602
2015-01-26,Romania,5508
2015-02-02,Romania,5560
2015-02-09,Romania,5688
2015-02-16,Romania,5815
2015-02-23,Romania,6281
2015-03-02,Romania,6139
2015-03-09,Romania,5909
2015-03-16,Romania,5824
2015-03-23,Romania,5844
2015-03-30,Romania,5865
2015-04-06,Romania,5432
2015-04-13,Romania,5425
2015-04-20,Romania,5571
2015-04-27,Romania,5282
2015-05-04,Romania,5053
2015-05-11,Romania,4822
2015-05-18,Romania,4667
2015-05-25,Romania,4769
2015-06-01,Romania,4306
2015-06-08,Romania,4913
2015-06-15,Romania,4682
2015-06-22,Romania,4410
2015-06-29,Romania,4283
2015-07-06,Romania,4434
2015-07-13,Romania,4604
2015-07-20,Romania,4416
2015-07-27,Romania,4997
2015-08-03,Romania,4551
2015-08-10,Romania,4439
2015-08-17,Romania,4503
2015-08-24,Romania,4127
2015-08-31,Romania,4413
2015-09-07,Romania,4554
2015-09-14,Romania,4040
2015-09-21,Romania,4574
2015-09-28,Romania,4313
2015-10-05,Romania,4342
2015-10-12,Romania,4598
2015-10-19,Romania,4917
2015-10-26,Romania,4962
2015-11-02,Romania,4984
2015-11-09,Romania,5129
2015-11-16,Romania,5188
2015-11-23,Romania,5074
2015-11-30,Romania,4926
2015-12-07,Romania,5043
2015-12-14,Romania,4991
2015-12-21,Romania,5179
2015-12-28,Romania,5249
2016-01-04,Romania,5361
2016-01-04,Romania,5770
2016-01-11,Romania,5345
2016-01-18,Romania,5389
2016-01-25,Romania,5514
2016-02-01,Romania,5427
2016-02-08,Romania,5203
2016-02-15,Romania,5264
2016-02-22,Romania,5186
2016-02-29,Romania,5114
2016-03-07,Romania,4903
2016-03-14,Romania,5115
2016-03-21,Romania,5090
2016-03-28,Romania,5225
2016-04-04,Romania,5224
2016-04-11,Romania,4758
2016-04-18,Romania,4860
2016-04-25,Romania,4700
2016-05-02,Romania,4918
2016-05-09,Romania,4854
2016-05-16,Romania,4646
2016-05-23,Romania,4821
2016-05-30,Romania,4734
2016-06-06,Romania,4399
2016-06-13,Romania,4819
2016-06-20,Romania,5692
2016-06-27,Romania,4683
2016-07-04,Romania,4194
2016-07-11,Romania,4501
2016-07-18,Romania,4237
2016-07-25,Romania,4577
2016-08-01,Romania,4688
2016-08-08,Romania,4159
2016-08-15,Romania,4410
2016-08-22,Romania,4296
2016-08-29,Romania,4250
2016-09-05,Romania,4471
2016-09-12,Romania,4497
2016-09-19,Romania,4234
2016-09-26,Romania,4674
2016-10-03,Romania,4768
2016-10-10,Romania,5103
2016-10-17,Romania,5187
2016-10-24,Romania,5033
2016-10-31,Romania,5092
2016-11-07,Romania,4963
2016-11-14,Romania,5097
2016-11-21,Romania,5088
2016-11-28,Romania,5126
2016-12-05,Romania,5297
2016-12-12,Romania,5356
2016-12-19,Romania,5829
2016-12-26,Romania,6253
2017-01-02,Romania,6940
2017-01-09,Romania,6977
2017-01-16,Romania,6482
2017-01-23,Romania,6304
2017-01-30,Romania,6066
2017-02-06,Romania,5725
2017-02-13,Romania,5721
2017-02-20,Romania,5593
2017-02-27,Romania,5398
2017-03-06,Romania,5133
2017-03-13,Romania,5079
2017-03-20,Romania,5034
2017-03-27,Romania,4955
2017-04-03,Romania,4876
2017-04-10,Romania,5030
2017-04-17,Romania,5223
2017-04-24,Romania,4892
2017-05-01,Romania,4939
2017-05-08,Romania,4665
2017-05-15,Romania,4534
2017-05-22,Romania,4447
2017-05-29,Romania,4628
2017-06-05,Romania,4709
2017-06-12,Romania,4434
2017-06-19,Romania,4647
2017-06-26,Romania,5117
2017-07-03,Romania,4381
2017-07-10,Romania,4382
2017-07-17,Romania,4529
2017-07-24,Romania,4403
2017-07-31,Romania,5085
2017-08-07,Romania,4885
2017-08-14,Romania,4355
2017-08-21,Romania,4271
2017-08-28,Romania,4405
2017-09-04,Romania,4301
2017-09-11,Romania,4494
2017-09-18,Romania,4301
2017-09-25,Romania,4366
2017-10-02,Romania,4981
2017-10-09,Romania,4942
2017-10-16,Romania,4952
2017-10-23,Romania,4895
2017-10-30,Romania,5061
2017-11-06,Romania,4987
2017-11-13,Romania,4999
2017-11-20,Romania,4991
2017-11-27,Romania,5014
2017-12-04,Romania,5027
2017-12-11,Romania,5249
2017-12-18,Romania,5176
2017-12-25,Romania,5237
2018-01-01,Romania,5333
2018-01-08,Romania,5201
2018-01-15,Romania,5500
2018-01-22,Romania,5490
2018-01-29,Romania,5808
2018-02-05,Romania,5668
2018-02-12,Romania,5838
2018-02-19,Romania,5859
2018-02-26,Romania,6111
2018-03-05,Romania,6152
2018-03-12,Romania,5734
2018-03-19,Romania,5427
2018-03-26,Romania,5465
2018-04-02,Romania,5300
2018-04-09,Romania,5236
2018-04-16,Romania,4774
2018-04-23,Romania,4868
2018-04-30,Romania,4675
2018-05-07,Romania,4540
2018-05-14,Romania,4637
2018-05-21,Romania,4676
2018-05-28,Romania,4861
2018-06-04,Romania,4656
2018-06-11,Romania,4658
2018-06-18,Romania,4403
2018-06-25,Romania,4194
2018-07-02,Romania,4591
2018-07-09,Romania,4699
2018-07-16,Romania,4502
2018-07-23,Romania,4505
2018-07-30,Romania,4708
2018-08-06,Romania,4689
2018-08-13,Romania,4694
2018-08-20,Romania,4542
2018-08-27,Romania,4408
2018-09-03,Romania,4349
2018-09-10,Romania,4454
2018-09-17,Romania,4520
2018-09-24,Romania,4643
2018-10-01,Romania,5194
2018-10-08,Romania,5048
2018-10-15,Romania,5318
2018-10-22,Romania,5145
2018-10-29,Romania,5140
2018-11-05,Romania,4963
2018-11-12,Romania,5082
2018-11-19,Romania,5364
2018-11-26,Romania,5291
2018-12-03,Romania,5457
2018-12-10,Romania,5461
2018-12-17,Romania,5623
2018-12-24,Romania,5768
2019-01-07,Romania,5784
2019-01-14,Romania,6136
2019-01-21,Romania,6256
2019-01-28,Romania,6259
2019-02-04,Romania,6215
2019-02-11,Romania,5734
2019-02-18,Romania,5497
2019-02-25,Romania,5344
2019-03-04,Romania,5508
2019-03-11,Romania,5498
2019-03-18,Romania,5445
2019-03-25,Romania,5359
2019-04-01,Romania,4922
2019-04-08,Romania,5186
2019-04-15,Romania,5094
2019-04-22,Romania,4783
2019-04-29,Romania,4860
2019-05-06,Romania,5023
2019-05-13,Romania,4696
2019-05-20,Romania,4787
2019-05-27,Romania,4770
2019-06-03,Romania,4635
2019-06-10,Romania,4660
2019-06-17,Romania,4937
2019-06-24,Romania,4919
2019-07-01,Romania,4671
2019-07-08,Romania,4834
2019-07-15,Romania,4338
2019-07-22,Romania,4424
2019-07-29,Romania,4728
2019-08-05,Romania,4473
2019-08-12,Romania,4425
2019-08-19,Romania,4485
2019-08-26,Romania,4645
2019-09-02,Romania,4517
2019-09-09,Romania,4227
2019-09-16,Romania,4319
2019-09-23,Romania,4327
2019-09-30,Romania,4699
2019-10-07,Romania,4826
2019-10-14,Romania,4757
2019-10-21,Romania,4772
2019-10-28,Romania,4720
2019-11-04,Romania,4745
2019-11-11,Romania,4906
2019-11-18,Romania,4608
2019-11-25,Romania,4685
2019-12-02,Romania,4928
2019-12-09,Romania,5014
2019-12-16,Romania,5239
2019-12-23,Romania,5013
2019-12-30,Romania,5079
2020-01-06,Romania,5252
2020-01-13,Romania,5316
2020-01-20,Romania,5383
2020-01-27,Romania,5298
2020-02-03,Romania,5376
2020-02-10,Romania,5395
2020-02-17,Romania,5349
2020-02-24,Romania,5189
2020-03-02,Romania,5308
2020-03-09,Romania,5155
2020-03-16,Romania,5065
2020-03-23,Romania,4999
2020-03-30,Romania,5144
2020-04-06,Romania,5143
2020-04-13,Romania,5197
2020-04-20,Romania,5089
2020-04-27,Romania,5046
2020-05-04,Romania,4816
2020-05-11,Romania,4794
2020-05-18,Romania,4837
2020-05-25,Romania,4522
2020-06-01,Romania,4525
2020-06-08,Romania,4864
2020-06-15,Romania,5048
