TIME,GEO,Value
2015-01-05,United Kingdom,13463
2015-01-12,United Kingdom,18270
2015-01-19,United Kingdom,16703
2015-01-26,United Kingdom,15688
2015-02-02,United Kingdom,14536
2015-02-09,United Kingdom,13701
2015-02-16,United Kingdom,13486
2015-02-23,United Kingdom,13038
2015-03-02,United Kingdom,13154
2015-03-09,United Kingdom,12998
2015-03-16,United Kingdom,12454
2015-03-23,United Kingdom,12010
2015-03-30,United Kingdom,11969
2015-04-06,United Kingdom,10294
2015-04-13,United Kingdom,11553
2015-04-20,United Kingdom,13027
2015-04-27,United Kingdom,11988
2015-05-04,United Kingdom,11560
2015-05-11,United Kingdom,10099
2015-05-18,United Kingdom,11659
2015-05-25,United Kingdom,11305
2015-06-01,United Kingdom,9495
2015-06-08,United Kingdom,11576
2015-06-15,United Kingdom,10823
2015-06-22,United Kingdom,10613
2015-06-29,United Kingdom,10488
2015-07-06,United Kingdom,10514
2015-07-13,United Kingdom,10255
2015-07-20,United Kingdom,9990
2015-07-27,United Kingdom,9978
2015-08-03,United Kingdom,9872
2015-08-10,United Kingdom,10114
2015-08-17,United Kingdom,10318
2015-08-24,United Kingdom,10320
2015-08-31,United Kingdom,10209
2015-09-07,United Kingdom,9063
2015-09-14,United Kingdom,10548
2015-09-21,United Kingdom,10357
2015-09-28,United Kingdom,10802
2015-10-05,United Kingdom,10677
2015-10-12,United Kingdom,11082
2015-10-19,United Kingdom,10762
2015-10-26,United Kingdom,10940
2015-11-02,United Kingdom,11000
2015-11-09,United Kingdom,11290
2015-11-16,United Kingdom,11318
2015-11-23,United Kingdom,11156
2015-11-30,United Kingdom,11188
2015-12-07,United Kingdom,11726
2015-12-14,United Kingdom,11672
2015-12-21,United Kingdom,12113
2015-12-28,United Kingdom,9786
2016-01-04,United Kingdom,8741
2016-01-04,United Kingdom,14841
2016-01-11,United Kingdom,13126
2016-01-18,United Kingdom,13039
2016-01-25,United Kingdom,12869
2016-02-01,United Kingdom,12546
2016-02-08,United Kingdom,12676
2016-02-15,United Kingdom,11988
2016-02-22,United Kingdom,12689
2016-02-29,United Kingdom,12710
2016-03-07,United Kingdom,12479
2016-03-14,United Kingdom,12457
2016-03-21,United Kingdom,10943
2016-03-28,United Kingdom,11723
2016-04-04,United Kingdom,13046
2016-04-11,United Kingdom,12732
2016-04-18,United Kingdom,12280
2016-04-25,United Kingdom,11771
2016-05-02,United Kingdom,10276
2016-05-09,United Kingdom,11975
