Data,Totale
2015-01-31,68514
2015-02-28,61031
2015-03-31,60418
2015-04-30,53591
2015-05-31,50678
2015-06-30,48130
2015-07-31,58460
2015-08-31,51010
2015-09-30,47024
2015-10-31,51500
2015-11-30,50252
2015-12-31,55588
2016-01-31,59410
2016-02-29,53329
2016-03-31,56599
2016-04-30,50904
2016-05-31,50279
2016-06-30,47260
2016-07-31,49701
2016-08-31,48641
2016-09-30,45330
2016-10-31,52233
2016-11-30,51573
2016-12-31,61812
2017-01-31,78688
2017-02-28,56229
2017-03-31,56453
2017-04-30,50911
2017-05-31,52146
2017-06-30,48737
2017-07-31,49625
2017-08-31,54543
2017-09-30,46703
2017-10-31,52282
2017-11-30,52781
2017-12-31,60375
2018-01-31,68350
2018-02-28,56294
2018-03-31,59269
2018-04-30,51514
2018-05-31,49335
2018-06-30,46739
2018-07-31,49633
2018-08-31,51563
2018-09-30,47216
2018-10-31,51495
2018-11-30,51591
2018-12-31,57844
2019-01-31,66660
2019-02-28,60199
2019-03-31,58596
2019-04-30,52087
2019-05-31,51184
2019-06-30,51639
2019-07-31,51634
2019-08-31,49448
2019-09-30,46469
2019-10-31,50440
2019-11-30,51115
2019-12-31,55044
2020-01-31,57517
2020-02-29,51780
2020-03-31,80623
2020-04-30,64693
