Data,Totale
2015-01-01,5026
2015-02-01,4662
2015-03-01,4126
2015-04-01,3907
2015-05-01,3788
2015-06-01,3670
2015-07-01,4564
2015-08-01,3709
2015-09-01,3479
2015-10-01,3930
2015-11-01,3605
2015-12-01,4089
2016-01-01,4263
2016-02-01,3819
2016-03-01,4295
2016-04-01,3679
2016-05-01,3738
2016-06-01,3510
2016-07-01,3794
2016-08-01,3536
2016-09-01,3319
2016-10-01,3985
2016-11-01,3763
2016-12-01,4611
2017-01-01,5613
2017-02-01,4202
2017-03-01,4038
2017-04-01,3691
2017-05-01,3965
2017-06-01,3702
2017-07-01,3676
2017-08-01,3914
2017-09-01,3474
2017-10-01,3877
2017-11-01,3958
2017-12-01,4760
2018-01-01,5762
2018-02-01,4038
2018-03-01,4387
2018-04-01,3765
2018-05-01,3634
2018-06-01,3572
2018-07-01,3728
2018-08-01,4053
2018-09-01,3583
2018-10-01,3940
2018-11-01,3822
2018-12-01,4253
2019-01-01,4757
2019-02-01,4669
2019-03-01,4191
2019-04-01,3794
2019-05-01,3765
2019-06-01,3935
2019-07-01,4198
2019-08-01,3604
2019-09-01,3433
2019-10-01,4006
2019-11-01,3936
2019-12-01,4054
2020-01-01,4085
2020-02-01,3848
2020-03-01,5925
2020-04-01,5501
